Action,Memory Utilization
1,0.000000
2,0.000000
3,0.000000
4,0.000732
5,0.001758
6,0.001953
7,0.002511
8,0.003296
9,0.003581
10,0.004102
11,0.004794
12,0.005127
13,0.005634
14,0.005859
15,0.005859
16,0.006042
17,0.006376
18,0.006836
19,0.007401
20,0.007764
21,0.007952
22,0.007990
23,0.008152
24,0.008423
25,0.008789
26,0.009014
27,0.009332
28,0.009521
29,0.009799
30,0.009961
31,0.010018
32,0.009979
33,0.010032
34,0.010168
35,0.010379
36,0.010498
37,0.010531
38,0.010639
39,0.010667
40,0.010767
41,0.010933
42,0.011021
43,0.011037
44,0.010986
45,0.011003
46,0.011082
47,0.011095
48,0.011047
49,0.011061
50,0.011016
51,0.011029
52,0.010986
53,0.011000
54,0.010959
55,0.010866
56,0.010725
57,0.010639
58,0.010607
59,0.010626
60,0.010596
61,0.010518
62,0.010396
63,0.010324
64,0.010300
65,0.010231
66,0.010210
67,0.010145
68,0.010125
69,0.010063
70,0.010045
71,0.010068
72,0.010050
73,0.009993
74,0.009898
75,0.009844
76,0.009753
77,0.009626
78,0.009503
79,0.009420
80,0.009302
81,0.009187
82,0.009075
83,0.009001
84,0.008894
85,0.008824
86,0.008789
87,0.008789
88,0.008822
89,0.008888
90,0.008984
91,0.009047
92,0.009076
93,0.009073
94,0.009101
95,0.009097
96,0.009125
97,0.009182
98,0.009267
99,0.009381
100,0.009463
101,0.009572
102,0.009708
103,0.009813
104,0.009888
105,0.009933
106,0.009950
107,0.009939
108,0.009956
109,0.009945
110,0.009908
111,0.009845
112,0.009809
113,0.009800
114,0.009817
115,0.009808
116,0.009825
117,0.009866
118,0.009931
119,0.009971
120,0.010034
121,0.010121
122,0.010230
123,0.010313
124,0.010419
125,0.010547
126,0.010649
127,0.010773
128,0.010872
129,0.010947
130,0.010998
131,0.011070
132,0.011164
133,0.011234
134,0.011281
135,0.011306
136,0.011309
137,0.011291
138,0.011294
139,0.011276
140,0.011279
141,0.011303
142,0.011306
143,0.011329
144,0.011373
145,0.011395
146,0.011398
147,0.011380
148,0.011343
149,0.011286
150,0.011250
151,0.011195
152,0.011160
153,0.011144
154,0.011148
155,0.011171
156,0.011174
157,0.011159
158,0.011162
159,0.011184
160,0.011188
161,0.011173
162,0.011176
163,0.011162
164,0.011129
165,0.011115
166,0.011119
167,0.011140
168,0.011143
169,0.011129
170,0.011098
171,0.011051
172,0.010986
173,0.010940
174,0.010877
175,0.010815
176,0.010753
177,0.010709
178,0.010682
179,0.010671
180,0.010677
181,0.010699
182,0.010705
183,0.010726
184,0.010732
185,0.010753
186,0.010789
187,0.010841
188,0.010877
189,0.010928
190,0.010994
191,0.011075
192,0.011169
193,0.011279
194,0.011371
195,0.011448
196,0.011539
197,0.011644
198,0.011734
199,0.011807
200,0.011865
201,0.011937
202,0.012023
203,0.012123
204,0.012207
205,0.012276
206,0.012330
207,0.012398
208,0.012479
209,0.012574
210,0.012653
211,0.012746
212,0.012852
213,0.012970
214,0.013101
215,0.013218
216,0.013346
217,0.013487
218,0.013614
219,0.013752
220,0.013903
221,0.014039
222,0.014187
223,0.014346
224,0.014518
225,0.014701
226,0.014869
227,0.015049
228,0.015240
229,0.015442
230,0.015655
231,0.015853
232,0.016038
233,0.016233
234,0.016414
235,0.016606
236,0.016808
237,0.017022
238,0.017246
239,0.017480
240,0.017725
241,0.017955
242,0.018196
243,0.018422
244,0.018659
245,0.018905
246,0.019162
247,0.019428
248,0.019705
249,0.019990
250,0.020285
251,0.020590
252,0.020880
253,0.021156
254,0.021419
255,0.021668
256,0.021904
257,0.022149
258,0.022404
259,0.022646
260,0.022874
261,0.023112
262,0.023359
263,0.023616
264,0.023881
265,0.024134
266,0.024396
267,0.024666
268,0.024924
269,0.025191
270,0.025467
271,0.025751
272,0.026044
273,0.026346
274,0.026634
275,0.026932
276,0.027238
277,0.027531
278,0.027832
279,0.028142
280,0.028439
281,0.028723
282,0.028996
283,0.029255
284,0.029524
285,0.029801
286,0.030086
287,0.030359
288,0.030640
289,0.030929
290,0.031226
291,0.031512
292,0.031805
293,0.032107
294,0.032396
295,0.032673
296,0.032939
297,0.033193
298,0.033436
299,0.033687
300,0.033945
301,0.034212
302,0.034487
303,0.034769
304,0.035060
305,0.035339
306,0.035625
307,0.035901
308,0.036165
309,0.036436
310,0.036697
311,0.036965
312,0.037222
313,0.037487
314,0.037741
315,0.037984
316,0.038234
317,0.038493
318,0.038758
319,0.039014
320,0.039276
321,0.039546
322,0.039824
323,0.040090
324,0.040365
325,0.040646
326,0.040935
327,0.041213
328,0.041480
329,0.041737
330,0.042001
331,0.042255
332,0.042498
333,0.042749
334,0.042989
335,0.043237
336,0.043492
337,0.043737
338,0.043971
339,0.044196
340,0.044428
341,0.044667
342,0.044896
343,0.045115
344,0.045325
345,0.045525
346,0.045715
347,0.045896
348,0.046067
349,0.046229
350,0.046398
351,0.046558
352,0.046725
353,0.046883
354,0.047049
355,0.047222
356,0.047385
357,0.047556
358,0.047734
359,0.047920
360,0.048112
361,0.048311
362,0.048518
363,0.048715
364,0.048919
365,0.049114
366,0.049300
367,0.049493
368,0.049677
369,0.049868
370,0.050050
371,0.050223
372,0.050387
373,0.050543
374,0.050706
375,0.050875
376,0.051051
377,0.051219
378,0.051378
379,0.051528
380,0.051670
381,0.051819
382,0.051975
383,0.052122
384,0.052261
385,0.052392
386,0.052514
387,0.052644
388,0.052765
389,0.052877
390,0.052997
391,0.053109
392,0.053213
393,0.053323
394,0.053426
395,0.053535
396,0.053652
397,0.053775
398,0.053905
399,0.054027
400,0.054141
401,0.054261
402,0.054389
403,0.054523
404,0.054649
405,0.054782
406,0.054921
407,0.055052
408,0.055190
409,0.055320
410,0.055457
411,0.055586
412,0.055707
413,0.055834
414,0.055968
415,0.056109
416,0.056242
417,0.056367
418,0.056498
419,0.056622
420,0.056738
421,0.056847
422,0.056962
423,0.057084
424,0.057198
425,0.057305
426,0.057418
427,0.057523
428,0.057635
429,0.057740
430,0.057851
431,0.057955
432,0.058051
433,0.058154
434,0.058249
435,0.058351
436,0.058446
437,0.058533
438,0.058614
439,0.058687
440,0.058767
441,0.058840
442,0.058919
443,0.059004
444,0.059082
445,0.059167
446,0.059257
447,0.059341
448,0.059418
449,0.059488
450,0.059564
451,0.059646
452,0.059735
453,0.059829
454,0.059917
455,0.059997
456,0.060084
457,0.060164
458,0.060238
459,0.060317
460,0.060403
461,0.060481
462,0.060553
463,0.060619
464,0.060690
465,0.060767
466,0.060838
467,0.060902
468,0.060960
469,0.061024
470,0.061093
471,0.061156
472,0.061213
473,0.061276
474,0.061332
475,0.061382
476,0.061437
477,0.061499
478,0.061566
479,0.061627
480,0.061682
481,0.061743
482,0.061809
483,0.061869
484,0.061935
485,0.061995
486,0.062060
487,0.062131
488,0.062208
489,0.062278
490,0.062355
491,0.062424
492,0.062488
493,0.062546
494,0.062609
495,0.062666
496,0.062717
497,0.062773
498,0.062835
499,0.062903
500,0.062977
501,0.063056
502,0.063140
503,0.063230
504,0.063325
505,0.063415
506,0.063498
507,0.063586
508,0.063669
509,0.063745
510,0.063815
511,0.063891
512,0.063961
513,0.064025
514,0.064083
515,0.064135
516,0.064192
517,0.064255
518,0.064323
519,0.064385
520,0.064442
521,0.064504
522,0.064571
523,0.064644
524,0.064721
525,0.064805
526,0.064882
527,0.064953
528,0.065030
529,0.065101
530,0.065177
531,0.065248
532,0.065312
533,0.065382
534,0.065446
535,0.065505
536,0.065557
537,0.065615
538,0.065667
539,0.065714
540,0.065755
541,0.065791
542,0.065821
543,0.065856
544,0.065896
545,0.065931
546,0.065961
547,0.065985
548,0.066004
549,0.066017
550,0.066035
551,0.066059
552,0.066088
553,0.066122
554,0.066151
555,0.066185
556,0.066224
557,0.066268
558,0.066306
559,0.066340
560,0.066378
561,0.066411
562,0.066450
563,0.066483
564,0.066510
565,0.066532
566,0.066549
567,0.066561
568,0.066568
569,0.066580
570,0.066596
571,0.066618
572,0.066635
573,0.066647
574,0.066663
575,0.066685
576,0.066711
577,0.066733
578,0.066749
579,0.066760
580,0.066767
581,0.066768
582,0.066774
583,0.066775
584,0.066771
585,0.066762
586,0.066748
587,0.066729
588,0.066705
589,0.066686
590,0.066673
591,0.066654
592,0.066640
593,0.066632
594,0.066618
595,0.066600
596,0.066577
597,0.066558
598,0.066545
599,0.066537
600,0.066533
601,0.066535
602,0.066541
603,0.066552
604,0.066568
605,0.066589
606,0.066614
607,0.066644
608,0.066679
609,0.066709
610,0.066744
611,0.066774
612,0.066808
613,0.066848
614,0.066891
615,0.066930
616,0.066964
617,0.066993
618,0.067027
619,0.067066
620,0.067099
621,0.067128
622,0.067161
623,0.067190
624,0.067214
625,0.067233
626,0.067247
627,0.067257
628,0.067262
629,0.067262
630,0.067257
631,0.067248
632,0.067244
633,0.067244
634,0.067240
635,0.067240
636,0.067245
637,0.067245
638,0.067250
639,0.067259
640,0.067273
641,0.067291
642,0.067305
643,0.067324
644,0.067346
645,0.067365
646,0.067378
647,0.067387
648,0.067401
649,0.067419
650,0.067441
651,0.067468
652,0.067491
653,0.067517
654,0.067540
655,0.067566
656,0.067588
657,0.067615
658,0.067637
659,0.067663
660,0.067694
661,0.067720
662,0.067741
663,0.067767
664,0.067789
665,0.067806
666,0.067827
667,0.067844
668,0.067865
669,0.067891
670,0.067921
671,0.067946
672,0.067967
673,0.067984
674,0.067996
675,0.068003
676,0.068007
677,0.068006
678,0.068001
679,0.067991
680,0.067977
681,0.067959
682,0.067937
683,0.067919
684,0.067897
685,0.067870
686,0.067848
687,0.067831
688,0.067809
689,0.067791
690,0.067778
691,0.067760
692,0.067738
693,0.067713
694,0.067683
695,0.067657
696,0.067635
697,0.067610
698,0.067580
699,0.067546
700,0.067517
701,0.067483
702,0.067454
703,0.067420
704,0.067383
705,0.067341
706,0.067304
707,0.067271
708,0.067242
709,0.067209
710,0.067172
711,0.067131
712,0.067095
713,0.067054
714,0.067009
715,0.066961
716,0.066916
717,0.066876
718,0.066832
719,0.066784
720,0.066740
721,0.066692
722,0.066640
723,0.066585
724,0.066525
725,0.066470
726,0.066410
727,0.066347
728,0.066288
729,0.066233
730,0.066183
731,0.066136
732,0.066094
733,0.066056
734,0.066014
735,0.065968
736,0.065926
737,0.065880
738,0.065831
739,0.065785
740,0.065736
741,0.065691
742,0.065649
743,0.065604
744,0.065556
745,0.065503
746,0.065447
747,0.065387
748,0.065323
749,0.065263
750,0.065199
751,0.065132
752,0.065069
753,0.065009
754,0.064954
755,0.064895
756,0.064841
757,0.064782
758,0.064728
759,0.064677
760,0.064630
761,0.064580
762,0.064534
763,0.064492
764,0.064445
765,0.064396
766,0.064342
767,0.064285
768,0.064224
769,0.064167
770,0.064114
771,0.064066
772,0.064021
773,0.063979
774,0.063935
775,0.063894
776,0.063849
777,0.063808
778,0.063764
779,0.063716
780,0.063664
781,0.063617
782,0.063573
783,0.063525
784,0.063482
785,0.063434
786,0.063391
787,0.063344
788,0.063301
789,0.063261
790,0.063218
791,0.063179
792,0.063136
793,0.063097
794,0.063062
795,0.063023
796,0.062981
797,0.062935
798,0.062893
799,0.062854
800,0.062812
801,0.062774
802,0.062740
803,0.062709
804,0.062682
805,0.062659
806,0.062639
807,0.062623
808,0.062611
809,0.062595
810,0.062576
811,0.062553
812,0.062534
813,0.062511
814,0.062492
815,0.062476
816,0.062464
817,0.062456
818,0.062444
819,0.062428
820,0.062409
821,0.062387
822,0.062361
823,0.062339
824,0.062313
825,0.062290
826,0.062265
827,0.062243
828,0.062217
829,0.062195
830,0.062169
831,0.062140
832,0.062115
833,0.062086
834,0.062054
835,0.062018
836,0.061979
837,0.061936
838,0.061891
839,0.061848
840,0.061809
841,0.061774
842,0.061736
843,0.061701
844,0.061662
845,0.061627
846,0.061589
847,0.061555
848,0.061523
849,0.061496
850,0.061465
851,0.061430
852,0.061393
853,0.061359
854,0.061328
855,0.061301
856,0.061277
857,0.061250
858,0.061220
859,0.061193
860,0.061162
861,0.061136
862,0.061105
863,0.061079
864,0.061049
865,0.061022
866,0.060992
867,0.060959
868,0.060923
869,0.060890
870,0.060853
871,0.060814
872,0.060778
873,0.060745
874,0.060716
875,0.060683
876,0.060654
877,0.060621
878,0.060586
879,0.060547
880,0.060505
881,0.060466
882,0.060431
883,0.060392
884,0.060350
885,0.060312
886,0.060270
887,0.060225
888,0.060184
889,0.060146
890,0.060105
891,0.060060
892,0.060019
893,0.059981
894,0.059941
895,0.059903
896,0.059869
897,0.059838
898,0.059804
899,0.059767
900,0.059733
901,0.059703
902,0.059669
903,0.059638
904,0.059611
905,0.059581
906,0.059554
907,0.059524
908,0.059497
909,0.059467
910,0.059440
911,0.059411
912,0.059384
913,0.059361
914,0.059341
915,0.059317
916,0.059291
917,0.059268
918,0.059248
919,0.059225
920,0.059205
921,0.059189
922,0.059175
923,0.059159
924,0.059145
925,0.059135
926,0.059122
927,0.059106
928,0.059093
929,0.059083
930,0.059076
931,0.059066
932,0.059059
933,0.059049
934,0.059036
935,0.059026
936,0.059019
937,0.059010
938,0.058997
939,0.058987
940,0.058974
941,0.058958
942,0.058945
943,0.058929
944,0.058917
945,0.058907
946,0.058900
947,0.058891
948,0.058884
949,0.058881
950,0.058881
951,0.058877
952,0.058877
953,0.058880
954,0.058885
955,0.058888
956,0.058894
957,0.058897
958,0.058903
959,0.058905
960,0.058905
961,0.058908
962,0.058914
963,0.058916
964,0.058922
965,0.058925
966,0.058924
967,0.058927
968,0.058927
969,0.058923
970,0.058917
971,0.058914
972,0.058913
973,0.058910
974,0.058904
975,0.058900
976,0.058894
977,0.058885
978,0.058872
979,0.058863
980,0.058851
981,0.058836
982,0.058818
983,0.058802
984,0.058790
985,0.058775
986,0.058757
987,0.058742
988,0.058730
989,0.058715
990,0.058697
991,0.058677
992,0.058653
993,0.058626
994,0.058603
995,0.058576
996,0.058547
997,0.058514
998,0.058485
999,0.058459
1000,0.058436
