Action,Memory_Utilization
1,0.000977
2,0.000488
3,0.000651
4,0.000977
5,0.001367
6,0.001790
7,0.002232
8,0.002441
9,0.002713
10,0.003027
11,0.003374
12,0.003743
13,0.004132
14,0.004534
15,0.004818
16,0.005127
17,0.005457
18,0.005805
19,0.006168
20,0.006445
21,0.006650
22,0.006880
23,0.007133
24,0.007324
25,0.007461
26,0.007625
27,0.007812
28,0.007952
29,0.008048
30,0.008105
31,0.008128
32,0.008118
33,0.008138
34,0.008128
35,0.008147
36,0.008192
37,0.008208
38,0.008249
39,0.008263
40,0.008301
41,0.008360
42,0.008440
43,0.008539
44,0.008656
45,0.008789
46,0.008938
47,0.009101
48,0.009277
49,0.009467
50,0.009629
51,0.009804
52,0.009953
53,0.010079
54,0.010218
55,0.010369
56,0.010533
57,0.010708
58,0.010894
59,0.011090
60,0.011296
61,0.011479
62,0.011640
63,0.011781
64,0.011932
65,0.012094
66,0.012237
67,0.012389
68,0.012552
69,0.012724
70,0.012905
71,0.013094
72,0.013292
73,0.013498
74,0.013711
75,0.013906
76,0.014109
77,0.014319
78,0.014511
79,0.014686
80,0.014868
81,0.015058
82,0.015232
83,0.015390
84,0.015555
85,0.015705
86,0.015841
87,0.015984
88,0.016135
89,0.016294
90,0.016461
91,0.016634
92,0.016793
93,0.016938
94,0.017069
95,0.017188
96,0.017314
97,0.017427
98,0.017548
99,0.017677
100,0.017793
101,0.017917
102,0.018047
103,0.018166
104,0.018292
105,0.018424
106,0.018564
107,0.018710
108,0.018844
109,0.018985
110,0.019114
111,0.019232
112,0.019357
113,0.019488
114,0.019608
115,0.019735
116,0.019868
117,0.020007
118,0.020135
119,0.020270
120,0.020410
121,0.020540
122,0.020676
123,0.020817
124,0.020949
125,0.021070
126,0.021182
127,0.021284
128,0.021393
129,0.021492
130,0.021582
131,0.021663
132,0.021736
133,0.021800
134,0.021856
135,0.021904
136,0.021944
137,0.021976
138,0.022015
139,0.022060
140,0.022098
141,0.022128
142,0.022165
143,0.022208
144,0.022257
145,0.022299
146,0.022347
147,0.022401
148,0.022448
149,0.022487
150,0.022533
151,0.022584
152,0.022628
153,0.022678
154,0.022734
155,0.022795
156,0.022849
157,0.022896
158,0.022937
159,0.022983
160,0.023022
161,0.023067
162,0.023106
163,0.023150
164,0.023187
165,0.023230
166,0.023279
167,0.023332
168,0.023391
169,0.023455
170,0.023512
171,0.023563
172,0.023608
173,0.023646
174,0.023679
175,0.023705
176,0.023737
177,0.023774
178,0.023805
179,0.023830
180,0.023850
181,0.023864
182,0.023872
183,0.023886
184,0.023894
185,0.023897
186,0.023905
187,0.023908
188,0.023905
189,0.023897
190,0.023885
191,0.023877
192,0.023865
193,0.023857
194,0.023855
195,0.023858
196,0.023856
197,0.023859
198,0.023857
199,0.023850
200,0.023848
201,0.023850
202,0.023858
203,0.023870
204,0.023878
205,0.023890
206,0.023897
207,0.023900
208,0.023907
209,0.023909
210,0.023916
211,0.023919
212,0.023926
213,0.023937
214,0.023953
215,0.023973
216,0.023989
217,0.024009
218,0.024024
219,0.024044
220,0.024068
221,0.024096
222,0.024128
223,0.024156
224,0.024187
225,0.024214
226,0.024246
227,0.024272
228,0.024294
229,0.024312
230,0.024333
231,0.024359
232,0.024380
233,0.024397
234,0.024418
235,0.024443
236,0.024464
237,0.024480
238,0.024492
239,0.024500
240,0.024512
241,0.024519
242,0.024531
243,0.024539
244,0.024542
245,0.024550
246,0.024553
247,0.024552
248,0.024548
249,0.024547
250,0.024543
251,0.024535
252,0.024530
253,0.024530
254,0.024533
255,0.024540
256,0.024544
257,0.024551
