Action,Memory_Utilization
456,0.446596
457,0.446194
458,0.445712
459,0.445150
460,0.444672
461,0.444115
462,0.443642
463,0.443251
464,0.442782
465,0.442395
466,0.441929
467,0.441385
468,0.440763
469,0.440224
470,0.439607
471,0.438912
472,0.438301
473,0.437612
474,0.437006
475,0.436323
476,0.435722
477,0.435045
478,0.434449
479,0.433934
480,0.433500
481,0.433145
482,0.432714
483,0.432363
484,0.431935
485,0.431586
486,0.431317
487,0.431125
488,0.431011
489,0.430821
490,0.430555
491,0.430214
492,0.429950
493,0.429611
494,0.429198
495,0.428862
496,0.428603
497,0.428270
498,0.427862
499,0.427381
500,0.426827
501,0.426200
502,0.425501
503,0.424729
504,0.424036
505,0.423270
506,0.422434
507,0.421675
508,0.420993
509,0.420239
510,0.419563
511,0.418962
512,0.418437
513,0.417988
514,0.417613
515,0.417167
516,0.416795
517,0.416497
518,0.416128
519,0.415688
520,0.415178
521,0.414741
522,0.414379
523,0.413945
524,0.413585
525,0.413155
526,0.412656
527,0.412229
528,0.411875
529,0.411451
530,0.410959
531,0.410397
532,0.409908
533,0.409491
534,0.409006
535,0.408592
536,0.408110
537,0.407700
538,0.407361
539,0.406954
540,0.406478
541,0.406074
542,0.405602
543,0.405062
544,0.404594
545,0.404058
546,0.403456
547,0.402787
548,0.402052
549,0.401388
550,0.400795
551,0.400272
552,0.399683
553,0.399164
554,0.398715
555,0.398199
556,0.397618
557,0.396972
558,0.396260
559,0.395619
560,0.395046
561,0.394543
562,0.393975
563,0.393475
564,0.392911
565,0.392415
566,0.391987
567,0.391627
568,0.391334
569,0.391108
570,0.390949
571,0.390857
572,0.390699
573,0.390476
574,0.390188
575,0.389836
576,0.389420
577,0.389071
578,0.388787
579,0.388570
580,0.388289
581,0.388073
582,0.387793
583,0.387579
584,0.387430
585,0.387217
586,0.386941
587,0.386730
588,0.386583
589,0.386500
590,0.386482
591,0.386400
592,0.386382
593,0.386300
594,0.386156
595,0.385949
596,0.385805
597,0.385725
598,0.385708
599,0.385754
600,0.385862
601,0.386033
602,0.386265
603,0.386434
604,0.386541
605,0.386709
606,0.386814
607,0.386982
608,0.387210
609,0.387376
610,0.387480
611,0.387522
612,0.387625
613,0.387789
614,0.387892
615,0.388055
616,0.388157
617,0.388319
618,0.388542
619,0.388703
620,0.388924
621,0.389205
622,0.389545
623,0.389824
624,0.390163
625,0.390560
626,0.391016
627,0.391531
628,0.392104
629,0.392734
630,0.393422
631,0.394168
632,0.394971
633,0.395711
634,0.396509
635,0.397363
636,0.398156
637,0.398887
638,0.399675
639,0.400401
640,0.401184
641,0.401906
642,0.402567
643,0.403284
644,0.403941
645,0.404654
646,0.405307
647,0.406016
648,0.406665
649,0.407253
650,0.407898
651,0.408483
652,0.409124
653,0.409820
654,0.410572
655,0.411379
656,0.412240
657,0.413042
658,0.413899
659,0.414752
660,0.415549
661,0.416398
662,0.417189
663,0.418033
664,0.418819
665,0.419549
666,0.420331
667,0.421165
668,0.421997
669,0.422826
670,0.423652
671,0.424476
672,0.425298
673,0.426072
674,0.426798
675,0.427477
676,0.428108
677,0.428783
678,0.429501
679,0.430262
680,0.430975
681,0.431732
682,0.432531
683,0.433283
684,0.434077
685,0.434869
686,0.435615
687,0.436317
688,0.436973
689,0.437584
690,0.438151
691,0.438673
692,0.439236
693,0.439841
694,0.440401
695,0.440917
696,0.441389
697,0.441817
698,0.442287
699,0.442712
700,0.443094
701,0.443518
702,0.443982
703,0.444403
704,0.444780
705,0.445115
706,0.445407
707,0.445739
708,0.446029
709,0.446277
710,0.446482
711,0.446728
712,0.446932
713,0.447093
714,0.447296
715,0.447457
716,0.447576
717,0.447653
718,0.447772
719,0.447849
720,0.447884
721,0.447961
722,0.448078
723,0.448154
724,0.448271
725,0.448347
726,0.448463
727,0.448619
728,0.448816
729,0.449053
730,0.449248
731,0.449403
732,0.449598
733,0.449751
734,0.449864
735,0.449937
736,0.450049
737,0.450201
738,0.450393
739,0.450545
740,0.450656
741,0.450726
742,0.450837
743,0.450987
744,0.451176
745,0.451405
746,0.451593
747,0.451741
748,0.451849
749,0.451997
750,0.452183
751,0.452409
752,0.452673
753,0.452976
754,0.453238
755,0.453539
756,0.453801
757,0.454100
758,0.454438
759,0.454736
760,0.455072
761,0.455447
762,0.455781
763,0.456076
764,0.456331
765,0.456624
766,0.456955
767,0.457324
768,0.457730
769,0.458174
770,0.458578
771,0.458943
772,0.459269
773,0.459555
774,0.459802
775,0.460011
776,0.460181
777,0.460388
778,0.460557
779,0.460688
780,0.460856
781,0.460986
782,0.461078
783,0.461207
784,0.461373
785,0.461502
786,0.461592
787,0.461645
788,0.461660
789,0.461638
790,0.461578
791,0.461481
792,0.461346
793,0.461250
794,0.461191
795,0.461094
796,0.461036
797,0.460940
798,0.460807
799,0.460712
800,0.460580
801,0.460485
802,0.460354
803,0.460186
804,0.460055
805,0.459962
806,0.459905
807,0.459812
808,0.459755
809,0.459663
810,0.459607
811,0.459514
812,0.459386
813,0.459294
814,0.459166
815,0.459002
816,0.458802
817,0.458639
818,0.458512
819,0.458422
820,0.458368
821,0.458279
822,0.458153
823,0.457992
824,0.457795
825,0.457635
826,0.457511
827,0.457351
828,0.457156
829,0.456926
830,0.456661
831,0.456432
832,0.456239
833,0.456082
834,0.455890
835,0.455734
836,0.455614
837,0.455529
838,0.455409
839,0.455254
840,0.455064
841,0.454910
842,0.454792
843,0.454709
844,0.454661
845,0.454578
846,0.454461
847,0.454308
848,0.454191
849,0.454110
850,0.453993
851,0.453912
852,0.453796
853,0.453715
854,0.453599
855,0.453449
856,0.453335
857,0.453254
858,0.453209
859,0.453129
860,0.453015
861,0.452936
862,0.452891
863,0.452812
864,0.452768
865,0.452689
866,0.452576
