Action,Memory Utilization
1,0.244141
2,0.366211
3,0.488281
4,0.488281
5,0.512695
6,0.549316
7,0.558036
8,0.549316
9,0.556098
10,0.573730
11,0.577060
12,0.569661
13,0.572791
14,0.584194
15,0.585938
16,0.595093
17,0.595990
18,0.590007
19,0.578228
20,0.573730
21,0.563849
22,0.560414
23,0.551970
24,0.549316
25,0.551758
26,0.549316
27,0.542535
28,0.540597
29,0.534584
30,0.524902
31,0.519783
32,0.511169
33,0.499379
34,0.484691
35,0.474330
36,0.467936
37,0.458588
38,0.446520
39,0.435071
40,0.424194
41,0.413848
42,0.406901
43,0.403116
44,0.396729
45,0.393338
46,0.392748
47,0.394781
48,0.394185
49,0.391123
50,0.385742
51,0.378179
52,0.373253
53,0.366211
54,0.359429
55,0.352894
56,0.348772
57,0.346937
58,0.347269
59,0.349659
60,0.349935
61,0.348201
62,0.348491
63,0.346835
64,0.343323
65,0.338041
66,0.332919
67,0.327950
68,0.324922
69,0.323752
70,0.324358
71,0.323228
72,0.320435
73,0.319389
74,0.320022
75,0.322266
76,0.322844
77,0.324992
78,0.328651
79,0.333762
80,0.337219
81,0.342098
82,0.344873
83,0.348562
84,0.351194
85,0.352807
86,0.353436
87,0.353115
88,0.351877
89,0.349752
90,0.346770
91,0.342959
92,0.340116
93,0.338209
94,0.337208
95,0.335372
96,0.332726
97,0.329296
98,0.326766
99,0.325110
100,0.322673
101,0.321089
102,0.318739
103,0.317225
104,0.314957
105,0.311957
106,0.309782
107,0.308408
108,0.306306
109,0.303496
110,0.301477
111,0.298761
112,0.296093
113,0.294193
114,0.291612
115,0.289784
116,0.287286
117,0.285526
118,0.284486
119,0.282779
120,0.280423
121,0.278105
122,0.276493
123,0.274245
124,0.272033
125,0.270508
126,0.268361
127,0.266248
128,0.264168
129,0.262120
130,0.260104
131,0.258739
132,0.258012
133,0.257908
134,0.258413
135,0.258307
136,0.258801
137,0.259882
138,0.260358
139,0.260241
140,0.259545
141,0.258281
142,0.257608
143,0.257514
144,0.257987
145,0.257891
146,0.257239
147,0.256043
148,0.254313
149,0.252606
150,0.251465
151,0.250877
152,0.250833
153,0.251321
154,0.252331
155,0.253854
156,0.255878
157,0.257358
158,0.258305
159,0.258728
160,0.259654
161,0.261074
162,0.261974
163,0.263362
164,0.265230
165,0.266582
166,0.267427
167,0.268750
168,0.270541
169,0.272792
170,0.275496
171,0.277692
172,0.280336
173,0.282243
174,0.284480
175,0.287040
176,0.289015
177,0.290693
178,0.292077
179,0.293173
180,0.294529
181,0.296139
182,0.297999
183,0.300106
184,0.302456
185,0.304340
186,0.306423
187,0.308266
188,0.309872
189,0.311247
190,0.312821
191,0.314166
192,0.315285
193,0.316603
194,0.318117
195,0.319824
196,0.321307
197,0.322567
198,0.324021
199,0.325255
200,0.326681
201,0.328294
202,0.329691
203,0.331274
204,0.332642
205,0.333798
206,0.335140
207,0.336273
208,0.337591
209,0.338701
210,0.339995
211,0.341469
212,0.342737
213,0.344185
214,0.345809
215,0.347607
216,0.349066
217,0.350350
218,0.351463
219,0.352406
220,0.353499
221,0.354425
222,0.355185
223,0.356094
224,0.356840
225,0.357424
226,0.358158
227,0.358731
228,0.359452
229,0.360319
230,0.361331
231,0.362484
232,0.363477
233,0.364312
234,0.365289
235,0.366406
236,0.367662
237,0.369054
238,0.370287
239,0.371657
240,0.373160
241,0.374506
242,0.375985
243,0.377308
244,0.378763
245,0.380065
246,0.381213
247,0.382494
248,0.383905
249,0.385060
250,0.386327
251,0.387706
252,0.388858
253,0.389895
254,0.391030
255,0.392049
256,0.393167
257,0.394382
258,0.395692
259,0.396803
260,0.397812
261,0.398720
262,0.399528
263,0.400423
264,0.401403
265,0.402283
266,0.403249
267,0.404116
268,0.405068
269,0.405922
270,0.406679
271,0.407521
272,0.408446
273,0.409454
274,0.410365
275,0.411359
276,0.412257
277,0.413060
278,0.413770
279,0.414387
280,0.414912
281,0.415347
282,0.415692
283,0.415949
284,0.416289
285,0.416713
286,0.417049
287,0.417467
288,0.417967
289,0.418380
290,0.418873
291,0.419280
292,0.419767
293,0.420167
294,0.420482
295,0.420712
296,0.420857
297,0.420920
298,0.421064
299,0.421126
300,0.421268
301,0.421329
302,0.421308
303,0.421207
304,0.421026
305,0.420926
306,0.420747
307,0.420649
308,0.420472
309,0.420376
310,0.420201
311,0.419949
312,0.419620
313,0.419215
314,0.418891
315,0.418491
316,0.418017
317,0.417468
