Action,Memory Utilization
1,0.002930
2,0.001465
3,0.001953
4,0.002930
5,0.004102
6,0.005371
7,0.005859
8,0.005859
9,0.006185
10,0.006738
11,0.006925
12,0.006836
13,0.006535
14,0.006487
15,0.006250
16,0.005859
17,0.005687
18,0.005697
19,0.005551
20,0.005273
21,0.005022
22,0.004794
23,0.004713
24,0.004517
25,0.004453
26,0.004507
27,0.004449
28,0.004290
29,0.004243
30,0.004102
31,0.004064
32,0.003937
33,0.003906
34,0.003964
35,0.003934
36,0.003825
37,0.003721
38,0.003624
39,0.003606
40,0.003516
41,0.003430
42,0.003348
43,0.003338
44,0.003396
45,0.003516
46,0.003567
47,0.003553
48,0.003601
49,0.003707
50,0.003867
51,0.004079
52,0.004226
53,0.004422
54,0.004666
55,0.004954
56,0.005284
57,0.005654
58,0.005960
59,0.006207
60,0.006396
61,0.006628
62,0.006899
63,0.007208
64,0.007553
65,0.007933
66,0.008256
67,0.008527
68,0.008746
69,0.009001
70,0.009291
71,0.009614
72,0.009888
73,0.010113
74,0.010293
75,0.010430
76,0.010524
77,0.010653
78,0.010817
79,0.011014
80,0.011243
81,0.011429
82,0.011647
83,0.011825
84,0.011963
85,0.012132
86,0.012264
87,0.012359
88,0.012418
89,0.012509
90,0.012565
91,0.012652
92,0.012770
93,0.012853
94,0.012965
95,0.013045
96,0.013092
97,0.013108
98,0.013154
99,0.013169
100,0.013213
101,0.013285
102,0.013327
103,0.013340
104,0.013381
105,0.013449
106,0.013488
107,0.013498
108,0.013482
109,0.013439
110,0.013370
111,0.013276
112,0.013210
113,0.013119
114,0.013004
115,0.012891
116,0.012805
117,0.012745
118,0.012662
119,0.012556
120,0.012451
121,0.012372
122,0.012271
123,0.012171
124,0.012073
125,0.011977
126,0.011905
127,0.011857
128,0.011833
129,0.011787
130,0.011719
131,0.011674
132,0.011608
133,0.011521
134,0.011456
135,0.011372
136,0.011288
137,0.011206
138,0.011124
139,0.011065
140,0.011028
141,0.011012
142,0.011017
143,0.011002
144,0.011007
145,0.010991
146,0.010996
147,0.011021
148,0.011026
149,0.011011
150,0.010977
151,0.010962
152,0.010929
153,0.010915
154,0.010920
155,0.010944
156,0.010949
157,0.010972
158,0.010977
159,0.010963
160,0.010931
161,0.010918
162,0.010923
163,0.010910
164,0.010879
165,0.010866
166,0.010872
167,0.010859
168,0.010829
169,0.010783
170,0.010719
171,0.010657
172,0.010612
173,0.010550
174,0.010506
175,0.010480
176,0.010470
177,0.010444
178,0.010435
179,0.010442
180,0.010465
181,0.010472
182,0.010495
183,0.010534
184,0.010556
185,0.010594
186,0.010648
187,0.010716
188,0.010768
189,0.010804
190,0.010824
191,0.010860
192,0.010910
193,0.010945
194,0.010964
195,0.010968
196,0.010956
197,0.010960
198,0.010979
199,0.011012
200,0.011030
201,0.011063
202,0.011110
203,0.011141
204,0.011159
205,0.011190
206,0.011207
207,0.011238
208,0.011254
209,0.011256
210,0.011272
211,0.011302
212,0.011346
213,0.011402
214,0.011472
215,0.011528
216,0.011570
217,0.011624
218,0.011665
219,0.011719
220,0.011785
221,0.011838
222,0.011904
223,0.011982
224,0.012072
225,0.012174
226,0.012263
227,0.012364
228,0.012477
229,0.012601
230,0.012738
231,0.012860
232,0.012994
233,0.013140
234,0.013271
235,0.013389
236,0.013494
237,0.013610
238,0.013713
239,0.013827
240,0.013953
241,0.014065
242,0.014188
243,0.014323
244,0.014468
245,0.014625
246,0.014791
247,0.014945
248,0.015086
249,0.015213
250,0.015328
251,0.015430
252,0.015544
253,0.015644
254,0.015733
255,0.015809
256,0.015873
257,0.015948
258,0.016011
259,0.016062
260,0.016125
261,0.016175
262,0.016214
263,0.016264
264,0.016324
265,0.016395
266,0.016477
267,0.016547
268,0.016627
269,0.016696
270,0.016753
271,0.016821
272,0.016878
273,0.016945
274,0.017001
275,0.017045
276,0.017100
277,0.017144
278,0.017199
279,0.017242
280,0.017296
281,0.017338
282,0.017391
283,0.017433
284,0.017485
285,0.017527
286,0.017578
287,0.017639
288,0.017710
289,0.017771
290,0.017821
291,0.017880
292,0.017949
293,0.018028
294,0.018096
295,0.018174
296,0.018261
297,0.018338
298,0.018404
299,0.018460
300,0.018525
301,0.018581
302,0.018626
303,0.018661
304,0.018686
305,0.018721
306,0.018765
307,0.018800
308,0.018824
309,0.018858
310,0.018882
311,0.018916
312,0.018940
313,0.018954
314,0.018959
315,0.018973
316,0.018978
317,0.018974
318,0.018978
319,0.018974
320,0.018979
321,0.018975
322,0.018961
323,0.018957
324,0.018962
325,0.018975
326,0.018980
327,0.018994
328,0.018998
329,0.019012
330,0.019016
331,0.019030
332,0.019034
333,0.019030
334,0.019017
335,0.019012
336,0.018999
337,0.018995
338,0.019000
339,0.018995
340,0.019000
341,0.018996
342,0.018983
343,0.018979
344,0.018983
345,0.018996
346,0.019018
347,0.019030
348,0.019035
349,0.019047
350,0.019068
351,0.019081
352,0.019085
353,0.019097
354,0.019101
355,0.019097
356,0.019101
357,0.019113
358,0.019133
359,0.019161
360,0.019181
361,0.019193
362,0.019213
363,0.019241
364,0.019276
365,0.019304
366,0.019323
367,0.019350
368,0.019369
369,0.019380
370,0.019383
371,0.019394
372,0.019413
373,0.019440
374,0.019474
375,0.019516
376,0.019565
377,0.019622
378,0.019686
379,0.019743
380,0.019806
381,0.019877
382,0.019956
383,0.020026
384,0.020103
385,0.020173
386,0.020235
387,0.020288
388,0.020349
389,0.020402
390,0.020448
391,0.020485
392,0.020530
393,0.020567
394,0.020597
395,0.020619
396,0.020648
397,0.020685
398,0.020714
399,0.020750
400,0.020779
401,0.020815
402,0.020858
403,0.020893
404,0.020936
405,0.020985
406,0.021042
407,0.021105
408,0.021176
409,0.021253
410,0.021322
411,0.021399
412,0.021482
413,0.021558
414,0.021626
415,0.021687
416,0.021754
417,0.021829
418,0.021910
419,0.021997
420,0.022077
421,0.022150
422,0.022216
423,0.022288
424,0.022367
425,0.022438
426,0.022502
427,0.022573
428,0.022637
429,0.022707
430,0.022783
431,0.022853
432,0.022929
433,0.023011
434,0.023100
435,0.023195
436,0.023296
437,0.023404
438,0.023518
439,0.023638
440,0.023764
441,0.023883
442,0.024008
443,0.024125
444,0.024249
445,0.024379
446,0.024515
447,0.024657
448,0.024804
449,0.024958
450,0.025104
451,0.025256
452,0.025401
453,0.025552
454,0.025709
455,0.025859
456,0.026001
457,0.026136
458,0.026265
459,0.026386
460,0.026501
461,0.026621
462,0.026748
463,0.026867
464,0.026992
465,0.027123
466,0.027247
467,0.027365
468,0.027475
469,0.027579
470,0.027676
471,0.027767
472,0.027863
473,0.027965
474,0.028073
475,0.028187
476,0.028306
477,0.028431
478,0.028561
479,0.028697
480,0.028839
481,0.028974
482,0.029115
483,0.029248
484,0.029388
485,0.029532
486,0.029683
487,0.029826
488,0.029963
489,0.030106
490,0.030254
491,0.030407
492,0.030565
493,0.030729
494,0.030886
495,0.031049
496,0.031205
497,0.031366
498,0.031521
499,0.031681
500,0.031834
501,0.031981
502,0.032122
503,0.032256
504,0.032384
505,0.032517
506,0.032643
507,0.032764
508,0.032890
509,0.033021
510,0.033146
511,0.033264
512,0.033377
513,0.033494
514,0.033617
515,0.033734
516,0.033856
517,0.033972
518,0.034082
519,0.034197
520,0.034306
521,0.034408
522,0.034516
523,0.034618
524,0.034726
525,0.034838
526,0.034945
527,0.035045
528,0.035151
529,0.035250
530,0.035344
531,0.035443
532,0.035547
533,0.035656
534,0.035760
535,0.035857
536,0.035960
537,0.036056
538,0.036158
539,0.036254
540,0.036344
541,0.036429
542,0.036518
543,0.036613
544,0.036702
545,0.036796
546,0.036895
547,0.036999
548,0.037097
549,0.037189
550,0.037287
551,0.037389
552,0.037497
553,0.037609
554,0.037716
555,0.037827
556,0.037944
557,0.038054
558,0.038159
559,0.038259
560,0.038363
561,0.038472
562,0.038576
563,0.038684
564,0.038787
565,0.038895
566,0.038997
567,0.039094
568,0.039185
569,0.039270
570,0.039361
571,0.039456
572,0.039556
573,0.039661
574,0.039760
575,0.039864
576,0.039963
577,0.040056
578,0.040154
579,0.040257
580,0.040364
581,0.040476
582,0.040583
583,0.040694
584,0.040810
585,0.040930
586,0.041046
587,0.041155
588,0.041260
589,0.041369
590,0.041482
591,0.041591
592,0.041694
593,0.041791
594,0.041884
595,0.041981
596,0.042072
597,0.042169
598,0.042260
599,0.042346
600,0.042427
601,0.042512
602,0.042592
603,0.042677
604,0.042767
605,0.042861
606,0.042959
607,0.043052
608,0.043141
609,0.043233
610,0.043331
611,0.043423
612,0.043519
613,0.043611
614,0.043707
615,0.043807
616,0.043903
617,0.043993
618,0.044078
619,0.044158
620,0.044234
621,0.044304
622,0.044379
623,0.044458
624,0.044542
625,0.044630
626,0.044722
627,0.044819
628,0.044920
629,0.045026
630,0.045126
631,0.045231
632,0.045341
633,0.045454
634,0.045572
635,0.045694
636,0.045811
637,0.045932
638,0.046058
639,0.046187
640,0.046321
641,0.046459
642,0.046601
643,0.046747
644,0.046889
645,0.047034
646,0.047183
647,0.047337
648,0.047485
649,0.047638
650,0.047785
651,0.047937
652,0.048084
653,0.048234
654,0.048380
655,0.048530
656,0.048684
657,0.048833
658,0.048985
659,0.049142
660,0.049294
661,0.049441
662,0.049592
663,0.049738
664,0.049880
665,0.050025
666,0.050174
667,0.050327
668,0.050484
669,0.050645
670,0.050802
671,0.050962
672,0.051126
673,0.051285
674,0.051448
675,0.051606
676,0.051759
677,0.051908
678,0.052052
679,0.052199
680,0.052342
681,0.052481
682,0.052623
683,0.052769
684,0.052910
685,0.053047
686,0.053187
687,0.053323
688,0.053454
689,0.053589
690,0.053719
691,0.053854
692,0.053983
693,0.054117
694,0.054254
695,0.054387
696,0.054523
697,0.054664
698,0.054799
699,0.054931
700,0.055066
701,0.055204
702,0.055339
703,0.055477
704,0.055610
705,0.055747
706,0.055880
707,0.056016
708,0.056148
709,0.056284
710,0.056423
711,0.056566
712,0.056705
713,0.056839
714,0.056977
715,0.057119
716,0.057264
717,0.057405
718,0.057541
719,0.057673
720,0.057800
721,0.057923
722,0.058050
723,0.058172
724,0.058290
725,0.058412
726,0.058537
727,0.058658
728,0.058783
729,0.058903
730,0.059027
731,0.059155
732,0.059286
733,0.059421
734,0.059560
735,0.059694
736,0.059832
737,0.059965
738,0.060102
739,0.060235
740,0.060363
741,0.060495
742,0.060623
743,0.060747
744,0.060866
745,0.060981
746,0.061091
747,0.061206
748,0.061324
749,0.061437
750,0.061547
751,0.061660
752,0.061777
753,0.061889
754,0.061997
755,0.062102
756,0.062202
757,0.062297
758,0.062397
759,0.062492
760,0.062591
761,0.062686
762,0.062777
763,0.062871
764,0.062961
765,0.063048
766,0.063137
767,0.063223
768,0.063313
769,0.063405
770,0.063502
771,0.063602
772,0.063706
773,0.063805
774,0.063900
775,0.063999
776,0.064102
777,0.064208
778,0.064318
779,0.064423
780,0.064524
781,0.064622
782,0.064715
783,0.064805
784,0.064890
785,0.064979
786,0.065072
787,0.065168
788,0.065260
789,0.065348
790,0.065440
791,0.065527
792,0.065618
793,0.065706
794,0.065796
795,0.065883
796,0.065966
797,0.066052
798,0.066142
799,0.066228
800,0.066317
801,0.066410
802,0.066499
803,0.066591
804,0.066680
805,0.066771
806,0.066867
807,0.066958
808,0.067046
809,0.067137
810,0.067231
811,0.067329
812,0.067430
813,0.067527
814,0.067628
815,0.067724
816,0.067817
817,0.067914
818,0.068006
819,0.068102
820,0.068194
821,0.068282
822,0.068374
823,0.068461
824,0.068545
825,0.068633
826,0.068724
827,0.068818
828,0.068915
829,0.069016
830,0.069112
831,0.069213
832,0.069316
833,0.069416
834,0.069519
835,0.069618
836,0.069713
837,0.069805
838,0.069893
839,0.069984
840,0.070072
841,0.070156
842,0.070236
843,0.070312
844,0.070385
845,0.070455
846,0.070527
847,0.070603
848,0.070675
849,0.070751
850,0.070823
851,0.070891
852,0.070956
853,0.071017
854,0.071081
855,0.071149
856,0.071213
857,0.071273
858,0.071337
859,0.071397
860,0.071454
861,0.071514
862,0.071570
863,0.071630
864,0.071686
865,0.071738
866,0.071787
867,0.071840
868,0.071895
869,0.071954
870,0.072010
871,0.072068
872,0.072130
873,0.072195
874,0.072257
875,0.072315
876,0.072369
877,0.072427
878,0.072481
879,0.072539
880,0.072600
881,0.072664
882,0.072724
883,0.072781
884,0.072835
885,0.072891
886,0.072951
887,0.073014
888,0.073074
889,0.073137
890,0.073196
891,0.073259
892,0.073324
893,0.073393
894,0.073465
895,0.073534
896,0.073605
897,0.073680
898,0.073758
899,0.073839
900,0.073923
901,0.074003
902,0.074087
903,0.074173
904,0.074257
905,0.074343
906,0.074426
907,0.074512
908,0.074601
909,0.074686
910,0.074775
911,0.074866
912,0.074954
913,0.075046
914,0.075133
915,0.075218
916,0.075305
917,0.075389
918,0.075470
919,0.075547
920,0.075627
921,0.075704
922,0.075778
923,0.075854
924,0.075928
925,0.076004
926,0.076083
927,0.076159
928,0.076238
929,0.076320
930,0.076405
931,0.076493
932,0.076577
933,0.076665
934,0.076749
935,0.076836
936,0.076926
937,0.077019
938,0.077115
939,0.077214
940,0.077309
941,0.077408
942,0.077509
943,0.077607
944,0.077708
945,0.077812
946,0.077919
947,0.078028
948,0.078134
949,0.078237
950,0.078337
951,0.078433
952,0.078532
953,0.078628
954,0.078727
955,0.078829
956,0.078927
957,0.079028
958,0.079126
959,0.079221
960,0.079318
961,0.079413
962,0.079504
963,0.079591
964,0.079682
965,0.079776
966,0.079866
967,0.079959
968,0.080049
969,0.080136
970,0.080219
971,0.080305
972,0.080389
973,0.080469
974,0.080545
975,0.080625
976,0.080701
977,0.080775
978,0.080851
979,0.080924
980,0.080994
981,0.081067
982,0.081142
983,0.081215
984,0.081284
985,0.081356
986,0.081425
987,0.081497
988,0.081572
989,0.081643
990,0.081712
991,0.081783
992,0.081857
993,0.081934
994,0.082008
995,0.082084
996,0.082158
997,0.082234
998,0.082307
999,0.082383
1000,0.082456
