Action,Memory_Utilization
1,0.996492
2,0.498246
3,0.332164
4,0.498246
5,0.398597
6,0.332164
7,0.427068
8,0.498246
9,0.498246
10,0.548071
11,0.588836
12,0.622808
13,0.632389
14,0.622808
15,0.631112
16,0.653948
17,0.659443
18,0.678168
19,0.694922
20,0.700036
21,0.714153
22,0.726986
23,0.738704
24,0.749445
25,0.759327
26,0.764190
27,0.764593
28,0.761012
29,0.753860
30,0.743494
31,0.730225
32,0.721246
33,0.716166
34,0.708128
35,0.703713
36,0.696468
37,0.692607
38,0.691863
39,0.688318
40,0.682182
41,0.679046
42,0.678696
43,0.680936
44,0.685592
45,0.687580
46,0.691888
47,0.698369
48,0.704580
49,0.710537
50,0.714445
51,0.719975
52,0.723551
53,0.725282
54,0.728627
55,0.730203
56,0.730105
57,0.728421
58,0.728357
59,0.729831
60,0.732766
61,0.737089
62,0.741273
63,0.745324
64,0.749249
65,0.751957
66,0.755662
67,0.759257
68,0.761769
69,0.765171
70,0.767526
71,0.768880
72,0.769273
73,0.768745
74,0.767334
75,0.765075
76,0.763749
77,0.761596
78,0.758645
79,0.754928
80,0.750474
81,0.746950
82,0.742702
83,0.739357
84,0.735300
85,0.730557
86,0.725152
87,0.719108
88,0.713956
89,0.709666
90,0.704734
91,0.700639
92,0.697356
93,0.693430
94,0.688880
95,0.685125
96,0.682140
97,0.678532
98,0.675675
99,0.673548
100,0.672127
101,0.671392
102,0.670020
103,0.668030
104,0.665439
105,0.663531
106,0.662285
107,0.661683
108,0.660477
109,0.658684
110,0.656320
111,0.654596
112,0.653497
113,0.653005
114,0.651939
115,0.650313
116,0.648143
117,0.646578
118,0.645603
119,0.644085
120,0.643147
121,0.642773
122,0.641860
123,0.641503
124,0.640616
125,0.640274
126,0.639410
127,0.639083
128,0.639281
129,0.638960
130,0.639155
131,0.639854
132,0.640040
133,0.639723
134,0.638915
135,0.637627
136,0.635869
137,0.633652
138,0.630986
139,0.628836
140,0.627192
141,0.626042
142,0.625376
