Action,Memory Utilization
1,0.244141
2,0.366211
3,0.488281
4,0.488281
5,0.439453
6,0.366211
7,0.313895
8,0.305176
9,0.325521
10,0.366211
11,0.377308
12,0.396729
13,0.422551
14,0.433059
15,0.436740
16,0.445048
17,0.457165
18,0.463415
19,0.464724
20,0.469971
21,0.478593
22,0.482733
23,0.482974
24,0.479804
25,0.473633
26,0.471066
27,0.465676
28,0.457764
29,0.447591
30,0.435384
31,0.426590
32,0.415802
33,0.403202
34,0.393737
35,0.382487
36,0.371862
37,0.364011
38,0.358715
39,0.351604
40,0.346883
41,0.344377
42,0.340053
43,0.337822
44,0.333844
45,0.328234
46,0.321098
47,0.314266
48,0.307719
49,0.303100
50,0.300293
51,0.296001
52,0.293438
53,0.292508
54,0.293119
55,0.292229
56,0.289917
57,0.289114
58,0.286935
59,0.283451
60,0.281440
61,0.280828
62,0.278924
63,0.275788
64,0.271479
65,0.267303
66,0.264486
67,0.262967
68,0.260297
69,0.258883
70,0.256348
71,0.252737
72,0.249227
73,0.246928
74,0.245790
75,0.245768
76,0.244676
77,0.242555
78,0.239446
79,0.237445
80,0.236511
81,0.234596
82,0.231735
83,0.229924
84,0.227186
85,0.225471
86,0.224742
87,0.223094
88,0.222408
89,0.220824
90,0.220179
91,0.220442
92,0.219815
93,0.218326
94,0.217735
95,0.218013
96,0.219133
97,0.221069
98,0.222135
99,0.224001
100,0.225016
101,0.226817
102,0.227785
103,0.229524
104,0.230447
105,0.230577
106,0.231473
107,0.233112
108,0.233968
109,0.234061
110,0.233413
111,0.232044
112,0.231425
113,0.231537
114,0.230934
115,0.231049
116,0.231863
117,0.231968
118,0.231382
119,0.230121
120,0.229560
121,0.228335
122,0.226464
123,0.224623
124,0.223467
125,0.221680
126,0.220566
127,0.220111
128,0.220299
129,0.219853
130,0.220040
131,0.219602
132,0.218555
133,0.218136
134,0.217115
135,0.216712
136,0.215717
137,0.214143
138,0.212591
139,0.211647
140,0.211298
141,0.211531
142,0.211187
143,0.211418
144,0.212210
145,0.212430
146,0.213205
147,0.213415
148,0.214173
149,0.214374
150,0.215115
151,0.215307
152,0.216032
153,0.216216
154,0.216926
155,0.218151
156,0.218840
157,0.220038
158,0.220705
159,0.220853
160,0.220490
161,0.219625
162,0.219274
163,0.218428
164,0.217097
165,0.215781
166,0.214481
167,0.213197
168,0.212412
169,0.212118
170,0.211349
171,0.211065
172,0.211257
173,0.210977
174,0.211168
175,0.210891
176,0.211080
177,0.210807
178,0.210994
179,0.211634
180,0.212719
181,0.214241
182,0.215300
183,0.215902
184,0.216056
185,0.216647
186,0.216795
187,0.217377
188,0.218385
189,0.219813
190,0.220797
191,0.222198
192,0.224008
193,0.225377
194,0.226312
195,0.226821
196,0.227740
197,0.229063
198,0.230783
199,0.232895
200,0.234578
201,0.236650
202,0.239105
203,0.241134
204,0.242744
205,0.243942
206,0.245523
207,0.246696
208,0.248249
209,0.250176
210,0.251697
211,0.253590
212,0.255849
213,0.257704
214,0.259162
215,0.260984
216,0.262413
217,0.263454
218,0.264859
219,0.265879
220,0.266520
221,0.267524
222,0.268151
223,0.268409
224,0.268300
225,0.268555
226,0.268447
227,0.268698
228,0.268590
229,0.268128
230,0.268024
231,0.268273
232,0.268169
233,0.267716
234,0.266920
235,0.266477
236,0.266382
237,0.266632
238,0.266537
239,0.266784
240,0.267368
241,0.267609
242,0.268185
243,0.268421
244,0.268988
245,0.269883
246,0.270440
247,0.270663
248,0.270556
249,0.270123
250,0.270020
251,0.270241
252,0.270137
253,0.270356
254,0.270894
255,0.271108
256,0.271638
257,0.271848
258,0.271741
259,0.271320
260,0.271215
261,0.270800
262,0.270077
263,0.269669
264,0.269572
265,0.269169
266,0.269075
267,0.269286
268,0.269192
269,0.269402
270,0.269911
271,0.270116
272,0.270021
273,0.269628
274,0.269535
275,0.269147
276,0.268466
277,0.267497
278,0.266828
279,0.266455
280,0.265794
281,0.265427
282,0.265351
283,0.265564
284,0.266062
285,0.266841
286,0.267331
287,0.267534
288,0.267453
289,0.267654
290,0.268134
291,0.268890
292,0.269920
293,0.271221
294,0.272790
295,0.273934
296,0.274864
297,0.275994
298,0.276911
299,0.278026
300,0.279338
301,0.280437
302,0.281328
303,0.282011
304,0.282890
305,0.283964
306,0.285230
307,0.286289
308,0.287143
309,0.288189
310,0.289031
311,0.290064
312,0.290895
313,0.291916
314,0.292735
315,0.293356
316,0.294166
317,0.295164
