Action,Memory Utilization
1,0.976562
2,0.976562
3,0.976562
4,0.976562
5,0.976562
6,0.976562
7,0.953311
8,0.915527
9,0.868056
10,0.846354
11,0.843395
12,0.854492
13,0.863882
14,0.871931
15,0.878906
16,0.885010
17,0.890395
18,0.890250
19,0.885448
20,0.876687
21,0.864533
22,0.849448
23,0.831815
24,0.811953
25,0.790128
26,0.766567
27,0.741464
28,0.721325
29,0.699513
30,0.682114
31,0.662974
32,0.647805
33,0.630865
34,0.612310
35,0.597352
36,0.580759
37,0.567462
38,0.552529
39,0.540638
40,0.527122
41,0.516431
42,0.508362
43,0.498604
44,0.491308
45,0.486308
46,0.479596
47,0.475059
48,0.472560
49,0.468351
50,0.466087
51,0.462170
52,0.460111
53,0.456455
54,0.454578
55,0.451156
56,0.449441
57,0.446228
58,0.444657
59,0.444644
60,0.443152
61,0.443164
62,0.444608
63,0.444597
64,0.443198
65,0.440477
66,0.436494
67,0.433954
68,0.430184
69,0.427809
70,0.426770
71,0.424511
72,0.423547
73,0.423826
74,0.425297
75,0.425545
76,0.426954
77,0.429480
78,0.430803
79,0.433216
80,0.434459
81,0.434576
82,0.433607
83,0.431591
84,0.430681
85,0.428747
86,0.427891
87,0.426034
88,0.423211
89,0.421448
90,0.418738
91,0.417063
92,0.416390
93,0.414777
94,0.412253
95,0.410717
96,0.408288
97,0.406825
98,0.406297
99,0.406677
100,0.407937
101,0.408293
102,0.407771
103,0.406398
104,0.404198
105,0.402885
106,0.402434
107,0.402822
108,0.404024
109,0.404390
110,0.405556
111,0.405901
112,0.405448
113,0.405788
114,0.406901
115,0.407223
116,0.406773
117,0.407091
118,0.408155
119,0.409947
120,0.412450
121,0.415644
122,0.419514
123,0.424043
124,0.427783
125,0.430753
126,0.434380
127,0.438649
128,0.442158
129,0.444924
130,0.446965
131,0.449652
132,0.452972
133,0.456908
134,0.460124
135,0.462634
136,0.465760
137,0.468193
138,0.469947
139,0.472314
140,0.475282
141,0.478837
142,0.481717
143,0.483935
144,0.486740
145,0.488894
146,0.490409
147,0.491301
148,0.491580
149,0.491260
150,0.491536
151,0.491221
152,0.490325
153,0.490022
154,0.490299
155,0.490000
156,0.490273
157,0.491109
158,0.491372
159,0.491073
160,0.490223
161,0.489936
162,0.489103
163,0.487737
164,0.485845
165,0.484515
166,0.482666
167,0.480307
168,0.477448
169,0.475148
170,0.473398
171,0.472187
172,0.471506
173,0.470320
174,0.468638
175,0.467482
