Action,Memory_Utilization
456,0.007493
457,0.007481
458,0.007467
459,0.007451
460,0.007435
461,0.007421
462,0.007405
463,0.007391
464,0.007379
465,0.007365
466,0.007354
467,0.007340
468,0.007328
469,0.007319
470,0.007312
471,0.007307
472,0.007304
473,0.007303
474,0.007304
475,0.007307
476,0.007312
477,0.007315
478,0.007316
479,0.007315
480,0.007316
481,0.007319
482,0.007320
483,0.007319
484,0.007320
485,0.007319
486,0.007320
487,0.007319
488,0.007320
489,0.007319
490,0.007316
491,0.007311
492,0.007304
493,0.007299
494,0.007293
495,0.007284
496,0.007273
497,0.007260
498,0.007246
499,0.007231
500,0.007217
501,0.007202
502,0.007190
503,0.007176
504,0.007161
505,0.007149
506,0.007135
507,0.007123
508,0.007109
509,0.007095
510,0.007081
511,0.007069
512,0.007055
513,0.007042
514,0.007028
515,0.007016
516,0.007006
517,0.006995
518,0.006981
519,0.006970
520,0.006956
521,0.006945
522,0.006931
523,0.006920
524,0.006910
525,0.006903
526,0.006897
527,0.006893
528,0.006888
529,0.006880
530,0.006871
531,0.006864
532,0.006858
533,0.006851
534,0.006845
535,0.006841
536,0.006840
537,0.006836
538,0.006834
539,0.006831
540,0.006829
541,0.006825
542,0.006820
543,0.006816
544,0.006814
545,0.006811
546,0.006809
547,0.006809
548,0.006811
549,0.006811
550,0.006813
551,0.006813
552,0.006815
553,0.006815
554,0.006817
555,0.006820
556,0.006822
557,0.006825
558,0.006831
559,0.006838
560,0.006843
561,0.006850
562,0.006855
563,0.006858
564,0.006860
565,0.006860
566,0.006858
567,0.006855
568,0.006853
569,0.006850
570,0.006845
571,0.006838
572,0.006829
573,0.006822
574,0.006814
575,0.006804
576,0.006792
577,0.006780
578,0.006770
579,0.006762
580,0.006755
581,0.006750
582,0.006744
583,0.006739
584,0.006736
585,0.006731
586,0.006724
587,0.006716
588,0.006706
589,0.006695
590,0.006685
591,0.006677
592,0.006668
593,0.006656
594,0.006647
595,0.006636
596,0.006626
597,0.006615
598,0.006606
599,0.006598
600,0.006589
601,0.006578
602,0.006567
603,0.006557
604,0.006550
605,0.006544
606,0.006536
607,0.006527
608,0.006516
609,0.006506
610,0.006495
611,0.006486
612,0.006479
613,0.006470
614,0.006462
615,0.006456
616,0.006452
617,0.006447
618,0.006439
619,0.006434
620,0.006426
621,0.006418
622,0.006410
623,0.006405
624,0.006401
625,0.006398
626,0.006394
627,0.006392
628,0.006391
629,0.006392
630,0.006391
631,0.006389
632,0.006385
633,0.006382
634,0.006378
635,0.006373
636,0.006366
637,0.006361
638,0.006354
639,0.006348
640,0.006345
641,0.006342
642,0.006342
643,0.006342
644,0.006342
645,0.006339
646,0.006339
