Action,Memory_Utilization
1,0.000000
2,0.000000
3,0.000326
4,0.000732
5,0.001172
6,0.001302
7,0.001256
8,0.001343
9,0.001519
10,0.001563
11,0.001687
12,0.001709
13,0.001803
14,0.001953
15,0.002148
16,0.002258
17,0.002298
18,0.002387
19,0.002416
20,0.002393
21,0.002418
22,0.002486
23,0.002505
24,0.002482
25,0.002422
26,0.002404
27,0.002423
28,0.002407
29,0.002357
30,0.002344
31,0.002363
32,0.002411
33,0.002427
34,0.002470
35,0.002483
36,0.002469
37,0.002481
38,0.002519
39,0.002579
40,0.002661
41,0.002763
42,0.002883
43,0.002975
44,0.003085
45,0.003212
46,0.003354
47,0.003511
48,0.003682
49,0.003866
50,0.004023
51,0.004155
52,0.004301
53,0.004422
54,0.004557
55,0.004670
56,0.004761
57,0.004831
58,0.004883
59,0.004949
60,0.005029
61,0.005091
62,0.005166
63,0.005224
64,0.005295
65,0.005349
66,0.005415
67,0.005495
68,0.005558
69,0.005633
70,0.005720
71,0.005791
72,0.005873
73,0.005966
74,0.006071
75,0.006159
76,0.006258
77,0.006367
78,0.006460
79,0.006564
80,0.006677
81,0.006800
82,0.006907
83,0.007024
84,0.007127
85,0.007238
86,0.007336
87,0.007442
88,0.007535
89,0.007615
90,0.007682
91,0.007737
92,0.007802
93,0.007855
94,0.007916
95,0.007967
96,0.008026
97,0.008094
98,0.008151
99,0.008197
100,0.008232
101,0.008257
102,0.008291
103,0.008315
104,0.008329
105,0.008333
106,0.008347
107,0.008351
108,0.008346
109,0.008332
110,0.008327
111,0.008332
112,0.008327
113,0.008314
114,0.008309
115,0.008297
116,0.008276
117,0.008263
118,0.008243
119,0.008231
120,0.008211
121,0.008200
122,0.008197
123,0.008186
124,0.008183
125,0.008188
126,0.008200
127,0.008220
128,0.008232
129,0.008236
130,0.008248
131,0.008267
132,0.008293
133,0.008326
134,0.008352
135,0.008370
136,0.008380
137,0.008397
138,0.008407
139,0.008410
140,0.008405
141,0.008394
142,0.008376
143,0.008352
144,0.008335
145,0.008311
146,0.008294
147,0.008284
148,0.008268
149,0.008245
150,0.008229
151,0.008220
152,0.008217
153,0.008221
154,0.008231
155,0.008247
156,0.008257
157,0.008273
158,0.008295
159,0.008322
160,0.008356
161,0.008395
162,0.008439
163,0.008490
164,0.008533
165,0.008570
166,0.008613
167,0.008660
168,0.008702
169,0.008737
170,0.008766
171,0.008789
172,0.008817
173,0.008851
174,0.008890
175,0.008934
176,0.008983
177,0.009037
178,0.009096
179,0.009149
180,0.009196
181,0.009237
182,0.009283
183,0.009323
184,0.009357
185,0.009396
186,0.009430
187,0.009468
188,0.009511
189,0.009559
190,0.009611
191,0.009668
192,0.009730
193,0.009796
194,0.009856
195,0.009911
196,0.009970
197,0.010023
198,0.010081
199,0.010134
200,0.010190
201,0.010242
202,0.010297
203,0.010357
204,0.010421
205,0.010490
206,0.010562
207,0.010638
208,0.010719
209,0.010794
210,0.010863
211,0.010937
212,0.011014
213,0.011086
214,0.011153
215,0.011215
216,0.011271
217,0.011323
218,0.011378
219,0.011438
220,0.011492
221,0.011551
222,0.011613
223,0.011671
224,0.011723
225,0.011771
226,0.011814
227,0.011852
228,0.011894
229,0.011932
230,0.011974
231,0.012019
232,0.012068
233,0.012113
234,0.012161
235,0.012213
236,0.012261
237,0.012304
238,0.012351
239,0.012401
240,0.012455
241,0.012513
242,0.012574
243,0.012639
244,0.012699
245,0.012755
246,0.012806
247,0.012853
248,0.012904
249,0.012950
250,0.012992
251,0.013030
252,0.013071
253,0.013108
254,0.013141
255,0.013170
256,0.013195
257,0.013223
258,0.013256
259,0.013284
260,0.013308
261,0.013335
262,0.013366
263,0.013393
264,0.013417
265,0.013443
266,0.013474
267,0.013500
268,0.013522
269,0.013548
270,0.013571
271,0.013589
272,0.013611
273,0.013629
274,0.013643
275,0.013661
276,0.013682
277,0.013700
278,0.013714
279,0.013724
280,0.013738
281,0.013755
282,0.013776
283,0.013800
284,0.013820
285,0.013836
286,0.013849
287,0.013866
288,0.013879
289,0.013888
290,0.013901
291,0.013917
292,0.013936
293,0.013959
294,0.013984
295,0.014006
296,0.014031
297,0.014060
298,0.014091
299,0.014126
300,0.014163
301,0.014197
302,0.014228
303,0.014255
304,0.014285
305,0.014312
306,0.014336
307,0.014356
308,0.014379
309,0.014405
310,0.014434
311,0.014466
312,0.014501
313,0.014539
314,0.014574
315,0.014605
316,0.014639
317,0.014676
318,0.014716
319,0.014753
320,0.014792
321,0.014834
322,0.014879
323,0.014927
324,0.014977
325,0.015030
326,0.015080
327,0.015132
328,0.015187
329,0.015245
330,0.015305
331,0.015368
332,0.015428
333,0.015490
334,0.015549
335,0.015610
336,0.015669
337,0.015729
338,0.015787
339,0.015841
340,0.015898
341,0.015951
342,0.016002
343,0.016055
344,0.016105
345,0.016157
346,0.016212
347,0.016264
348,0.016313
349,0.016364
350,0.016412
351,0.016457
352,0.016504
353,0.016549
354,0.016591
355,0.016635
356,0.016676
357,0.016719
358,0.016765
359,0.016808
360,0.016854
361,0.016896
362,0.016936
363,0.016978
364,0.017017
365,0.017054
366,0.017093
367,0.017134
368,0.017172
369,0.017208
370,0.017240
371,0.017275
372,0.017313
373,0.017353
374,0.017395
375,0.017435
376,0.017472
377,0.017511
378,0.017547
379,0.017586
380,0.017627
381,0.017670
382,0.017711
383,0.017754
384,0.017794
385,0.017837
386,0.017882
387,0.017929
388,0.017978
389,0.018025
390,0.018069
391,0.018110
392,0.018154
393,0.018199
394,0.018242
395,0.018283
396,0.018320
397,0.018355
398,0.018388
399,0.018418
400,0.018450
401,0.018484
402,0.018516
403,0.018550
404,0.018586
405,0.018620
406,0.018651
407,0.018679
408,0.018710
409,0.018743
410,0.018774
411,0.018807
412,0.018841
413,0.018879
414,0.018913
415,0.018945
416,0.018980
417,0.019011
418,0.019041
419,0.019067
420,0.019096
421,0.019128
422,0.019161
423,0.019196
424,0.019230
425,0.019260
426,0.019288
427,0.019319
428,0.019351
429,0.019386
430,0.019418
431,0.019452
432,0.019488
433,0.019527
434,0.019567
435,0.019605
436,0.019645
437,0.019683
438,0.019723
439,0.019765
440,0.019809
441,0.019855
442,0.019902
443,0.019952
444,0.020004
445,0.020054
446,0.020105
447,0.020154
448,0.020200
449,0.020245
450,0.020291
451,0.020335
452,0.020380
453,0.020428
454,0.020478
455,0.020525
456,0.020570
457,0.020613
458,0.020653
459,0.020691
460,0.020731
461,0.020768
462,0.020804
463,0.020841
464,0.020876
465,0.020909
466,0.020940
467,0.020968
468,0.020998
469,0.021030
470,0.021061
471,0.021093
472,0.021126
473,0.021162
474,0.021196
475,0.021231
476,0.021265
477,0.021296
478,0.021325
479,0.021356
480,0.021389
481,0.021419
482,0.021452
483,0.021486
484,0.021519
485,0.021553
486,0.021585
487,0.021619
488,0.021650
489,0.021680
490,0.021708
491,0.021733
492,0.021760
493,0.021789
494,0.021820
495,0.021849
496,0.021876
497,0.021901
498,0.021924
499,0.021948
500,0.021971
501,0.021995
502,0.022021
503,0.022045
504,0.022071
505,0.022095
506,0.022121
507,0.022149
508,0.022178
509,0.022206
510,0.022235
511,0.022262
512,0.022287
513,0.022314
514,0.022339
515,0.022366
516,0.022395
517,0.022421
518,0.022446
519,0.022472
520,0.022500
521,0.022530
522,0.022558
523,0.022588
524,0.022616
525,0.022641
526,0.022665
527,0.022691
528,0.022714
529,0.022740
530,0.022767
531,0.022796
532,0.022823
533,0.022848
534,0.022874
535,0.022899
536,0.022926
537,0.022954
538,0.022980
539,0.023004
540,0.023027
541,0.023051
542,0.023077
543,0.023105
544,0.023134
545,0.023162
546,0.023187
547,0.023211
548,0.023236
549,0.023263
550,0.023288
551,0.023315
552,0.023344
553,0.023374
554,0.023406
555,0.023436
556,0.023467
557,0.023501
558,0.023536
559,0.023569
560,0.023603
561,0.023639
562,0.023674
563,0.023706
564,0.023737
565,0.023766
566,0.023793
567,0.023822
568,0.023848
569,0.023877
570,0.023904
571,0.023928
572,0.023955
573,0.023979
574,0.024002
575,0.024023
576,0.024046
577,0.024070
578,0.024096
579,0.024121
580,0.024146
581,0.024170
582,0.024193
583,0.024213
584,0.024232
585,0.024252
586,0.024274
587,0.024294
588,0.024316
589,0.024339
590,0.024364
591,0.024391
592,0.024416
593,0.024442
594,0.024470
595,0.024499
596,0.024527
597,0.024553
598,0.024581
599,0.024606
600,0.024631
601,0.024653
602,0.024677
603,0.024702
604,0.024729
605,0.024755
606,0.024778
607,0.024800
608,0.024824
609,0.024845
610,0.024869
611,0.024894
612,0.024920
613,0.024945
614,0.024968
615,0.024989
616,0.025009
617,0.025030
618,0.025049
619,0.025067
620,0.025087
621,0.025104
622,0.025124
623,0.025141
624,0.025157
625,0.025175
626,0.025194
627,0.025212
628,0.025227
629,0.025245
630,0.025264
631,0.025284
632,0.025306
633,0.025329
634,0.025354
635,0.025380
636,0.025404
637,0.025427
638,0.025449
639,0.025469
640,0.025490
641,0.025509
642,0.025531
643,0.025553
644,0.025574
645,0.025594
646,0.025614
647,0.025637
648,0.025657
649,0.025677
650,0.025697
651,0.025719
652,0.025743
653,0.025767
654,0.025791
655,0.025816
656,0.025842
657,0.025866
658,0.025889
659,0.025911
660,0.025934
661,0.025955
662,0.025975
663,0.025996
664,0.026016
665,0.026037
666,0.026059
667,0.026083
668,0.026106
669,0.026129
670,0.026154
671,0.026181
672,0.026206
673,0.026232
674,0.026260
675,0.026289
676,0.026317
677,0.026346
678,0.026373
679,0.026399
680,0.026423
681,0.026446
682,0.026467
683,0.026490
684,0.026511
685,0.026534
686,0.026558
687,0.026580
688,0.026604
689,0.026627
690,0.026650
691,0.026675
692,0.026702
693,0.026727
694,0.026753
695,0.026777
696,0.026801
697,0.026825
698,0.026848
699,0.026870
700,0.026893
701,0.026915
702,0.026935
703,0.026956
704,0.026976
705,0.026995
706,0.027015
707,0.027033
708,0.027053
709,0.027071
710,0.027091
711,0.027109
712,0.027128
713,0.027147
714,0.027163
715,0.027178
716,0.027192
717,0.027205
718,0.027219
719,0.027231
720,0.027245
721,0.027260
722,0.027273
723,0.027288
724,0.027305
725,0.027320
726,0.027333
727,0.027345
728,0.027359
729,0.027371
730,0.027384
731,0.027399
732,0.027414
733,0.027429
734,0.027445
735,0.027462
736,0.027478
737,0.027492
738,0.027505
739,0.027517
740,0.027530
741,0.027541
742,0.027554
743,0.027566
744,0.027579
745,0.027593
746,0.027608
747,0.027622
748,0.027635
749,0.027646
750,0.027656
751,0.027668
752,0.027677
753,0.027689
754,0.027701
755,0.027712
756,0.027725
757,0.027739
758,0.027751
759,0.027764
760,0.027777
761,0.027788
762,0.027800
763,0.027811
764,0.027821
765,0.027829
766,0.027836
767,0.027844
768,0.027854
769,0.027864
770,0.027874
771,0.027885
772,0.027894
773,0.027902
774,0.027909
775,0.027915
776,0.027919
777,0.027924
778,0.027929
779,0.027932
780,0.027933
781,0.027936
782,0.027938
783,0.027941
784,0.027945
785,0.027948
786,0.027953
787,0.027958
788,0.027962
789,0.027965
790,0.027969
791,0.027975
792,0.027981
793,0.027987
794,0.027993
795,0.027998
796,0.028005
797,0.028010
798,0.028014
799,0.028020
800,0.028026
801,0.028034
802,0.028043
803,0.028050
804,0.028059
805,0.028069
806,0.028078
807,0.028086
808,0.028094
809,0.028104
810,0.028115
811,0.028125
812,0.028136
813,0.028146
814,0.028155
815,0.028165
816,0.028173
817,0.028180
818,0.028187
819,0.028194
820,0.028202
821,0.028210
822,0.028216
823,0.028221
824,0.028227
825,0.028232
826,0.028238
827,0.028245
828,0.028253
829,0.028263
830,0.028273
831,0.028285
832,0.028298
833,0.028310
834,0.028323
835,0.028337
836,0.028350
837,0.028361
838,0.028374
839,0.028385
840,0.028396
841,0.028407
842,0.028420
843,0.028432
844,0.028444
845,0.028456
846,0.028466
847,0.028475
848,0.028483
849,0.028492
850,0.028500
851,0.028506
852,0.028514
853,0.028523
854,0.028533
855,0.028544
856,0.028554
857,0.028563
858,0.028571
859,0.028580
860,0.028587
861,0.028594
862,0.028601
863,0.028608
864,0.028615
865,0.028624
866,0.028634
867,0.028642
868,0.028650
869,0.028659
870,0.028668
871,0.028679
872,0.028691
873,0.028704
874,0.028716
875,0.028729
876,0.028743
877,0.028756
878,0.028767
879,0.028778
880,0.028788
881,0.028796
882,0.028805
883,0.028814
884,0.028821
885,0.028827
886,0.028834
887,0.028840
888,0.028847
889,0.028853
890,0.028858
891,0.028862
892,0.028867
893,0.028870
894,0.028875
895,0.028879
896,0.028884
897,0.028890
898,0.028897
899,0.028903
900,0.028910
901,0.028915
902,0.028922
903,0.028928
904,0.028933
905,0.028936
906,0.028939
907,0.028940
908,0.028943
909,0.028944
910,0.028947
911,0.028951
912,0.028955
913,0.028959
914,0.028961
915,0.028963
916,0.028965
917,0.028967
918,0.028969
919,0.028973
920,0.028977
921,0.028981
922,0.028983
923,0.028985
924,0.028985
925,0.028984
926,0.028985
927,0.028984
928,0.028984
929,0.028986
930,0.028988
931,0.028992
932,0.028994
933,0.028998
934,0.029000
935,0.029001
936,0.029004
937,0.029005
938,0.029007
939,0.029011
940,0.029015
941,0.029019
942,0.029023
943,0.029029
944,0.029035
945,0.029043
946,0.029049
947,0.029057
948,0.029063
949,0.029070
950,0.029079
951,0.029088
952,0.029097
953,0.029104
954,0.029111
955,0.029118
956,0.029126
957,0.029134
958,0.029140
959,0.029147
960,0.029153
961,0.029161
962,0.029167
963,0.029172
964,0.029178
965,0.029186
966,0.029194
967,0.029203
968,0.029211
969,0.029220
970,0.029228
971,0.029236
972,0.029242
973,0.029247
974,0.029251
975,0.029254
976,0.029256
977,0.029257
978,0.029257
979,0.029256
980,0.029254
981,0.029251
982,0.029247
983,0.029244
984,0.029242
985,0.029241
986,0.029239
987,0.029237
988,0.029233
989,0.029230
990,0.029226
991,0.029223
992,0.029221
993,0.029220
994,0.029218
995,0.029215
996,0.029212
997,0.029207
998,0.029201
999,0.029196
1000,0.029192
