Action,Memory_Utilization
456,0.467584
457,0.467184
458,0.466889
459,0.466492
460,0.465994
461,0.465394
462,0.464901
463,0.464307
464,0.463817
465,0.463432
466,0.462947
467,0.462362
468,0.461678
469,0.460896
470,0.460016
471,0.459040
472,0.458067
473,0.457199
474,0.456234
475,0.455374
476,0.454617
477,0.453763
478,0.453012
479,0.452364
480,0.451817
481,0.451371
482,0.451025
483,0.450582
484,0.450240
485,0.449800
486,0.449265
487,0.448830
488,0.448494
489,0.448256
490,0.447922
491,0.447493
492,0.446969
493,0.446544
494,0.446216
495,0.445986
496,0.445852
497,0.445623
498,0.445300
499,0.445074
500,0.444753
501,0.444528
502,0.444210
503,0.443987
504,0.443859
505,0.443826
506,0.443699
507,0.443666
508,0.443540
509,0.443321
510,0.443197
511,0.442979
512,0.442670
513,0.442455
514,0.442332
515,0.442119
516,0.441997
517,0.441969
518,0.442031
519,0.442185
520,0.442430
521,0.442583
522,0.442644
523,0.442614
524,0.442494
525,0.442465
526,0.442345
527,0.442316
528,0.442197
529,0.442169
530,0.442230
531,0.442380
532,0.442619
533,0.442768
534,0.442827
535,0.442975
536,0.443211
537,0.443534
538,0.443768
539,0.443913
540,0.443970
541,0.443939
542,0.443820
543,0.443789
544,0.443846
545,0.443815
546,0.443697
547,0.443667
548,0.443550
549,0.443347
550,0.443231
551,0.443030
552,0.442743
553,0.442371
554,0.441916
555,0.441547
556,0.441094
557,0.440728
558,0.440449
559,0.440085
560,0.439638
561,0.439277
562,0.438833
563,0.438307
564,0.437866
565,0.437511
566,0.437241
567,0.437056
568,0.436955
569,0.436771
570,0.436504
571,0.436155
572,0.435890
573,0.435709
574,0.435446
575,0.435266
576,0.435170
577,0.434991
578,0.434896
579,0.434718
580,0.434623
581,0.434610
582,0.434516
583,0.434340
584,0.434246
585,0.434234
586,0.434303
587,0.434290
588,0.434359
589,0.434508
590,0.434736
591,0.434884
592,0.434951
593,0.435098
594,0.435164
595,0.435150
596,0.435216
597,0.435203
598,0.435110
599,0.434938
600,0.434846
601,0.434833
602,0.434899
603,0.435043
604,0.435109
605,0.435252
606,0.435317
607,0.435303
608,0.435212
609,0.435043
610,0.434952
611,0.434783
612,0.434693
613,0.434526
614,0.434282
615,0.434116
616,0.433873
617,0.433555
618,0.433160
619,0.432844
620,0.432452
621,0.432138
622,0.431748
623,0.431436
624,0.431201
625,0.431042
626,0.430808
627,0.430651
628,0.430419
629,0.430263
630,0.430031
631,0.429726
632,0.429346
633,0.429043
634,0.428815
635,0.428663
636,0.428586
637,0.428435
638,0.428209
639,0.427910
640,0.427687
641,0.427390
642,0.427167
643,0.427020
644,0.426799
645,0.426505
646,0.426285
647,0.426140
648,0.426068
649,0.426070
650,0.426144
651,0.426291
652,0.426511
653,0.426802
654,0.427166
655,0.427600
656,0.428106
657,0.428682
658,0.429328
659,0.430045
660,0.430831
661,0.431687
662,0.432469
663,0.433176
664,0.433953
665,0.434656
666,0.435286
667,0.435985
668,0.436753
669,0.437590
670,0.438353
671,0.439044
672,0.439803
673,0.440489
674,0.441103
675,0.441644
676,0.442114
677,0.442653
678,0.443119
679,0.443515
680,0.443979
681,0.444512
682,0.444973
683,0.445503
684,0.446101
685,0.446765
686,0.447498
687,0.448297
688,0.449094
689,0.449888
690,0.450680
691,0.451470
692,0.452258
693,0.453043
694,0.453826
695,0.454607
696,0.455336
697,0.456014
698,0.456739
699,0.457511
700,0.458281
701,0.459002
702,0.459673
703,0.460389
704,0.461056
705,0.461768
706,0.462432
707,0.463140
708,0.463893
709,0.464645
710,0.465348
711,0.466096
712,0.466840
713,0.467540
714,0.468280
715,0.469019
716,0.469714
717,0.470448
718,0.471139
719,0.471786
720,0.472389
721,0.472948
722,0.473464
723,0.473937
724,0.474367
725,0.474754
726,0.475181
727,0.475566
728,0.475908
729,0.476291
730,0.476631
731,0.476929
732,0.477268
733,0.477647
734,0.477983
735,0.478278
736,0.478613
737,0.478988
738,0.479321
739,0.479612
740,0.479943
741,0.480314
742,0.480643
743,0.480931
744,0.481178
745,0.481464
746,0.481709
747,0.481994
748,0.482319
749,0.482683
750,0.483005
751,0.483287
752,0.483608
753,0.483888
754,0.484128
755,0.484326
756,0.484564
757,0.484762
758,0.484999
759,0.485195
760,0.485351
761,0.485468
762,0.485623
763,0.485739
764,0.485814
765,0.485850
766,0.485926
767,0.486040
768,0.486115
769,0.486150
770,0.486146
771,0.486182
772,0.486256
773,0.486369
774,0.486443
775,0.486478
776,0.486551
777,0.486663
778,0.486814
779,0.486926
780,0.486998
781,0.487032
782,0.487104
783,0.487138
784,0.487210
785,0.487243
786,0.487315
787,0.487348
788,0.487419
789,0.487452
790,0.487523
791,0.487632
792,0.487779
793,0.487887
794,0.487957
795,0.488065
796,0.488211
797,0.488394
798,0.488614
799,0.488872
800,0.489091
801,0.489272
802,0.489491
803,0.489671
804,0.489813
805,0.489917
806,0.489984
807,0.490088
808,0.490154
809,0.490182
810,0.490174
811,0.490202
812,0.490268
813,0.490296
814,0.490288
815,0.490242
816,0.490159
817,0.490113
818,0.490105
819,0.490060
820,0.489978
821,0.489932
822,0.489851
823,0.489732
824,0.489578
825,0.489387
826,0.489160
827,0.488970
828,0.488745
829,0.488483
830,0.488258
831,0.488070
832,0.487919
833,0.487805
834,0.487727
835,0.487685
836,0.487607
837,0.487494
838,0.487417
839,0.487375
840,0.487370
841,0.487329
842,0.487253
843,0.487212
844,0.487207
845,0.487238
846,0.487233
847,0.487193
848,0.487188
849,0.487148
850,0.487072
851,0.486961
852,0.486886
853,0.486846
854,0.486771
855,0.486661
856,0.486515
857,0.486406
858,0.486261
859,0.486152
860,0.486078
861,0.485970
862,0.485826
863,0.485718
864,0.485576
865,0.485398
866,0.485256
867,0.485149
868,0.485077
869,0.485040
870,0.484969
871,0.484932
872,0.484861
873,0.484824
874,0.484822
875,0.484855
876,0.484922
877,0.485023
878,0.485090
879,0.485122
880,0.485120
881,0.485152
882,0.485218
883,0.485250
884,0.485247
885,0.485211
886,0.485140
887,0.485104
888,0.485102
889,0.485134
890,0.485131
891,0.485163
892,0.485229
893,0.485328
894,0.485460
895,0.485559
896,0.485624
897,0.485655
898,0.485719
899,0.485750
900,0.485747
901,0.485710
902,0.485641
903,0.485538
904,0.485401
905,0.485232
906,0.485030
907,0.484795
908,0.484527
909,0.484293
910,0.484092
911,0.483859
912,0.483594
913,0.483295
914,0.483031
915,0.482800
916,0.482603
917,0.482373
918,0.482176
919,0.482013
920,0.481883
921,0.481720
922,0.481591
923,0.481494
924,0.481366
925,0.481204
926,0.481011
927,0.480850
928,0.480722
929,0.480562
930,0.480370
931,0.480146
932,0.479955
933,0.479797
934,0.479671
935,0.479513
936,0.479388
937,0.479231
938,0.479042
939,0.478821
940,0.478633
941,0.478413
942,0.478226
943,0.478007
944,0.477821
945,0.477603
946,0.477353
947,0.477072
948,0.476824
949,0.476544
950,0.476233
951,0.475955
952,0.475645
953,0.475368
954,0.475123
955,0.474910
956,0.474666
957,0.474454
958,0.474211
959,0.473936
960,0.473632
961,0.473359
962,0.473118
963,0.472909
964,0.472669
965,0.472398
966,0.472096
967,0.471764
968,0.471464
969,0.471196
970,0.470959
971,0.470754
972,0.470580
973,0.470376
974,0.470141
975,0.469938
976,0.469765
977,0.469625
978,0.469453
979,0.469313
980,0.469204
981,0.469064
982,0.468894
983,0.468693
984,0.468463
985,0.468202
986,0.467910
987,0.467651
988,0.467361
989,0.467102
990,0.466813
991,0.466494
992,0.466146
993,0.465768
994,0.465360
995,0.464983
996,0.464638
997,0.464323
998,0.463979
999,0.463605
1000,0.463202
