Action,Memory Utilization
1,0.024414
2,0.012207
3,0.016276
4,0.024414
5,0.024414
6,0.020345
7,0.020926
8,0.024414
9,0.024414
10,0.026855
11,0.031072
12,0.036621
13,0.043194
14,0.047084
15,0.052083
16,0.054932
17,0.056009
18,0.055610
19,0.056538
20,0.058594
21,0.061616
22,0.063255
23,0.065812
24,0.067139
25,0.069336
26,0.070425
27,0.072338
28,0.074986
29,0.078293
30,0.082194
31,0.086631
32,0.091553
33,0.095437
34,0.099810
35,0.103237
36,0.105794
37,0.108874
38,0.111148
39,0.112680
40,0.113525
41,0.114925
42,0.115676
43,0.115825
44,0.116522
45,0.116645
46,0.116232
47,0.115317
48,0.114950
49,0.114098
50,0.112793
51,0.111060
52,0.108924
53,0.106869
54,0.104890
55,0.103427
56,0.101580
57,0.100226
58,0.098498
59,0.097242
60,0.095622
61,0.094054
62,0.092931
63,0.091456
64,0.090027
65,0.089017
66,0.088408
67,0.088182
68,0.088321
69,0.088811
70,0.088937
71,0.089404
72,0.090196
73,0.091302
74,0.092048
75,0.093099
76,0.093801
77,0.094169
78,0.094213
79,0.094566
80,0.095215
81,0.096149
82,0.096763
83,0.097068
84,0.097075
85,0.097369
86,0.097372
87,0.097095
88,0.097101
89,0.097382
90,0.097385
91,0.097120
92,0.097126
93,0.096869
94,0.096358
95,0.095600
96,0.094604
97,0.093629
98,0.092674
99,0.091984
100,0.091064
101,0.090405
102,0.089997
103,0.089360
104,0.088970
105,0.088356
106,0.087522
107,0.086932
108,0.086579
109,0.086457
110,0.086559
111,0.086879
112,0.086975
113,0.086854
114,0.086520
115,0.086405
116,0.086081
117,0.085554
118,0.084829
119,0.084116
120,0.083415
121,0.082927
122,0.082247
123,0.081579
124,0.080921
125,0.080469
126,0.080218
127,0.079778
128,0.079155
129,0.078541
130,0.077937
131,0.077342
132,0.076756
133,0.076179
134,0.075793
135,0.075593
136,0.075576
137,0.075737
138,0.076073
139,0.076228
140,0.076556
141,0.077051
142,0.077369
143,0.077510
144,0.077481
145,0.077283
146,0.077255
147,0.077394
148,0.077696
149,0.077830
150,0.077799
151,0.077608
152,0.077579
153,0.077710
154,0.077681
155,0.077495
156,0.077468
157,0.077285
158,0.077260
159,0.077388
160,0.077362
161,0.077185
162,0.076859
163,0.076687
164,0.076666
165,0.076497
166,0.076478
167,0.076312
168,0.076003
169,0.075843
170,0.075827
171,0.075955
172,0.076223
