Action,Memory Utilization
1,0.002930
2,0.004395
3,0.005859
4,0.007324
5,0.007617
6,0.007324
7,0.006696
8,0.005859
9,0.005208
10,0.004687
11,0.004261
12,0.003906
13,0.003606
14,0.003557
15,0.003711
16,0.003662
17,0.003791
18,0.004069
19,0.004472
20,0.004687
21,0.004743
22,0.004927
23,0.004968
24,0.004883
25,0.004922
26,0.004845
27,0.004883
28,0.004813
29,0.004849
30,0.004785
31,0.004631
32,0.004578
33,0.004439
34,0.004395
35,0.004436
36,0.004557
37,0.004592
38,0.004703
39,0.004883
40,0.005127
41,0.005288
42,0.005371
43,0.005382
44,0.005327
45,0.005339
46,0.005286
47,0.005298
48,0.005371
49,0.005501
50,0.005684
51,0.005802
52,0.005859
53,0.005859
54,0.005914
55,0.006019
56,0.006069
57,0.006168
58,0.006314
59,0.006505
60,0.006738
61,0.007012
62,0.007324
63,0.007673
64,0.007965
65,0.008293
66,0.008656
67,0.009051
68,0.009392
69,0.009766
70,0.010170
71,0.010522
72,0.010905
73,0.011237
74,0.011521
75,0.011758
76,0.011950
77,0.012175
78,0.012357
79,0.012498
80,0.012671
81,0.012804
82,0.012969
83,0.013166
84,0.013393
85,0.013580
86,0.013797
87,0.014042
88,0.014249
89,0.014418
90,0.014616
91,0.014777
92,0.014903
93,0.015058
94,0.015178
95,0.015327
96,0.015503
97,0.015645
98,0.015814
99,0.015951
100,0.016113
101,0.016302
102,0.016458
103,0.016639
104,0.016846
105,0.017076
106,0.017274
107,0.017441
108,0.017632
109,0.017847
110,0.018031
111,0.018185
112,0.018311
113,0.018408
114,0.018478
115,0.018572
116,0.018689
117,0.018780
118,0.018894
119,0.018981
120,0.019092
121,0.019225
122,0.019379
123,0.019507
124,0.019610
125,0.019688
126,0.019787
127,0.019862
128,0.019913
129,0.019985
130,0.020035
131,0.020061
132,0.020064
133,0.020089
134,0.020092
135,0.020074
136,0.020077
137,0.020102
138,0.020147
139,0.020213
140,0.020299
141,0.020362
142,0.020405
143,0.020426
144,0.020426
145,0.020447
146,0.020448
147,0.020428
148,0.020429
149,0.020410
150,0.020371
151,0.020353
152,0.020354
153,0.020335
154,0.020337
155,0.020319
156,0.020282
157,0.020265
158,0.020267
159,0.020287
160,0.020325
161,0.020344
162,0.020345
163,0.020328
164,0.020293
165,0.020277
166,0.020278
167,0.020262
168,0.020264
169,0.020248
170,0.020249
171,0.020268
172,0.020303
173,0.020322
174,0.020323
175,0.020307
176,0.020308
177,0.020293
178,0.020261
179,0.020246
180,0.020247
181,0.020265
182,0.020299
183,0.020348
184,0.020380
185,0.020429
186,0.020461
187,0.020508
188,0.020570
189,0.020647
190,0.020739
191,0.020815
192,0.020874
193,0.020918
194,0.020976
195,0.021019
196,0.021046
197,0.021058
198,0.021085
199,0.021097
200,0.021123
201,0.021164
202,0.021189
203,0.021229
204,0.021283
205,0.021322
206,0.021375
207,0.021442
208,0.021522
209,0.021587
210,0.021666
211,0.021757
212,0.021834
213,0.021925
214,0.022000
215,0.022088
216,0.022163
217,0.022249
218,0.022322
219,0.022381
220,0.022452
221,0.022510
222,0.022580
223,0.022662
224,0.022731
225,0.022786
226,0.022828
227,0.022883
228,0.022949
229,0.023003
230,0.023068
231,0.023146
232,0.023235
233,0.023312
234,0.023400
235,0.023500
236,0.023611
237,0.023734
238,0.023868
239,0.024014
240,0.024146
241,0.024288
242,0.024418
243,0.024559
244,0.024710
245,0.024872
246,0.025021
247,0.025157
248,0.025304
249,0.025461
250,0.025605
251,0.025737
252,0.025856
253,0.025962
254,0.026056
255,0.026160
256,0.026276
257,0.026401
258,0.026515
259,0.026639
260,0.026750
261,0.026850
262,0.026960
263,0.027058
264,0.027166
265,0.027263
266,0.027347
267,0.027421
268,0.027482
269,0.027533
270,0.027572
271,0.027600
272,0.027617
273,0.027644
274,0.027661
275,0.027688
276,0.027726
277,0.027774
278,0.027811
279,0.027837
280,0.027874
281,0.027921
282,0.027977
283,0.028044
284,0.028121
285,0.028187
286,0.028262
287,0.028348
288,0.028422
289,0.028486
290,0.028539
291,0.028602
292,0.028675
293,0.028737
294,0.028809
295,0.028870
296,0.028941
297,0.029001
298,0.029071
299,0.029150
300,0.029219
301,0.029277
302,0.029326
303,0.029384
304,0.029451
305,0.029527
306,0.029613
307,0.029707
308,0.029791
309,0.029885
310,0.029968
311,0.030041
312,0.030123
313,0.030195
314,0.030258
315,0.030329
316,0.030409
317,0.030498
318,0.030577
319,0.030647
320,0.030707
321,0.030775
322,0.030853
323,0.030939
324,0.031015
325,0.031100
326,0.031175
327,0.031259
328,0.031333
329,0.031398
330,0.031472
331,0.031554
332,0.031644
333,0.031725
334,0.031797
335,0.031877
336,0.031948
337,0.032009
338,0.032062
339,0.032123
340,0.032175
341,0.032235
342,0.032304
343,0.032380
344,0.032465
345,0.032541
346,0.032625
347,0.032716
348,0.032799
349,0.032873
350,0.032955
351,0.033028
352,0.033092
353,0.033164
354,0.033228
355,0.033283
356,0.033346
357,0.033416
358,0.033479
359,0.033532
360,0.033577
361,0.033614
362,0.033659
363,0.033695
364,0.033740
365,0.033776
366,0.033819
367,0.033855
368,0.033898
369,0.033934
370,0.033976
371,0.034027
372,0.034069
373,0.034119
374,0.034177
375,0.034227
376,0.034268
377,0.034317
378,0.034373
379,0.034422
380,0.034478
381,0.034541
382,0.034612
383,0.034674
384,0.034744
385,0.034806
386,0.034875
387,0.034952
388,0.035020
389,0.035081
390,0.035134
391,0.035194
392,0.035261
393,0.035320
394,0.035372
395,0.035431
396,0.035497
397,0.035555
398,0.035620
399,0.035678
400,0.035742
401,0.035814
402,0.035878
403,0.035949
404,0.036026
405,0.036097
406,0.036159
407,0.036214
408,0.036262
409,0.036302
410,0.036350
411,0.036389
412,0.036422
413,0.036461
414,0.036494
415,0.036519
416,0.036537
417,0.036547
418,0.036551
419,0.036562
420,0.036565
421,0.036562
422,0.036566
423,0.036562
424,0.036566
425,0.036576
426,0.036594
427,0.036604
428,0.036607
429,0.036618
430,0.036635
431,0.036658
432,0.036689
433,0.036712
434,0.036743
435,0.036779
436,0.036823
437,0.036859
438,0.036889
439,0.036911
440,0.036927
441,0.036950
442,0.036966
443,0.036988
444,0.037017
445,0.037052
446,0.037094
447,0.037142
448,0.037183
449,0.037218
450,0.037259
451,0.037306
452,0.037360
453,0.037407
454,0.037460
455,0.037506
456,0.037546
457,0.037592
458,0.037645
459,0.037703
460,0.037767
461,0.037838
462,0.037915
463,0.037997
464,0.038073
465,0.038155
466,0.038243
467,0.038324
468,0.038411
469,0.038492
470,0.038578
471,0.038658
