Action,Memory_Utilization
1,0.000000
2,0.000488
3,0.000326
4,0.000488
5,0.000391
6,0.000488
7,0.000419
8,0.000488
9,0.000434
10,0.000391
11,0.000355
12,0.000326
13,0.000300
14,0.000279
15,0.000326
16,0.000305
17,0.000287
18,0.000271
19,0.000308
20,0.000293
21,0.000279
22,0.000311
23,0.000297
24,0.000326
25,0.000313
26,0.000300
27,0.000289
28,0.000279
29,0.000269
30,0.000260
31,0.000284
32,0.000336
33,0.000355
34,0.000345
35,0.000335
36,0.000326
37,0.000317
38,0.000334
39,0.000326
40,0.000342
41,0.000333
42,0.000349
43,0.000341
44,0.000355
45,0.000347
46,0.000361
47,0.000395
48,0.000448
49,0.000478
50,0.000527
51,0.000555
52,0.000601
53,0.000663
54,0.000741
55,0.000799
56,0.000837
57,0.000891
58,0.000960
59,0.001043
60,0.001107
61,0.001153
62,0.001213
63,0.001287
64,0.001343
65,0.001382
66,0.001406
67,0.001443
68,0.001494
69,0.001529
70,0.001549
71,0.001582
72,0.001628
73,0.001659
74,0.001676
75,0.001706
76,0.001722
77,0.001725
78,0.001740
79,0.001743
80,0.001758
81,0.001784
82,0.001798
83,0.001800
84,0.001814
85,0.001815
86,0.001828
87,0.001830
88,0.001820
89,0.001821
90,0.001812
91,0.001792
92,0.001783
93,0.001764
94,0.001745
95,0.001727
96,0.001719
97,0.001722
98,0.001714
99,0.001716
100,0.001709
101,0.001711
102,0.001723
103,0.001726
104,0.001718
105,0.001721
106,0.001714
107,0.001716
108,0.001709
109,0.001711
110,0.001722
111,0.001742
112,0.001770
113,0.001789
114,0.001799
115,0.001800
116,0.001810
117,0.001811
118,0.001821
119,0.001838
120,0.001847
121,0.001864
122,0.001873
123,0.001874
124,0.001866
125,0.001867
126,0.001876
127,0.001892
128,0.001915
129,0.001930
130,0.001953
131,0.001968
132,0.001975
133,0.001975
134,0.001982
135,0.001982
136,0.001975
137,0.001960
138,0.001946
139,0.001939
140,0.001925
141,0.001912
142,0.001905
143,0.001905
144,0.001912
145,0.001913
146,0.001906
147,0.001893
148,0.001887
149,0.001874
150,0.001862
151,0.001856
152,0.001844
153,0.001838
154,0.001826
155,0.001815
156,0.001809
157,0.001810
158,0.001805
159,0.001806
160,0.001801
161,0.001789
162,0.001778
163,0.001767
164,0.001763
165,0.001752
166,0.001747
167,0.001737
168,0.001732
169,0.001722
170,0.001718
171,0.001719
172,0.001715
173,0.001716
174,0.001723
175,0.001724
176,0.001731
177,0.001732
178,0.001739
179,0.001751
180,0.001769
181,0.001780
182,0.001798
183,0.001820
184,0.001836
185,0.001858
186,0.001874
187,0.001885
188,0.001901
189,0.001922
190,0.001938
191,0.001948
192,0.001953
193,0.001963
194,0.001978
195,0.001998
196,0.002013
197,0.002032
198,0.002047
199,0.002066
200,0.002090
201,0.002109
202,0.002132
203,0.002150
204,0.002173
205,0.002201
206,0.002233
207,0.002269
208,0.002301
209,0.002327
210,0.002358
211,0.002384
212,0.002414
213,0.002439
214,0.002460
215,0.002485
216,0.002505
217,0.002529
218,0.002549
219,0.002564
220,0.002583
221,0.002598
222,0.002617
223,0.002641
224,0.002659
225,0.002674
226,0.002692
227,0.002706
228,0.002716
229,0.002721
230,0.002722
231,0.002718
232,0.002711
233,0.002699
234,0.002692
235,0.002680
236,0.002669
237,0.002658
238,0.002647
239,0.002640
240,0.002637
241,0.002630
242,0.002619
243,0.002612
244,0.002610
245,0.002603
246,0.002600
247,0.002594
248,0.002583
249,0.002577
250,0.002574
251,0.002576
252,0.002573
253,0.002567
254,0.002564
255,0.002566
256,0.002571
257,0.002580
258,0.002585
259,0.002587
260,0.002584
261,0.002585
262,0.002583
263,0.002584
264,0.002582
265,0.002576
266,0.002566
267,0.002560
268,0.002558
269,0.002559
270,0.002564
271,0.002573
272,0.002585
273,0.002601
274,0.002612
275,0.002628
276,0.002640
277,0.002648
278,0.002659
279,0.002674
280,0.002686
281,0.002700
282,0.002718
283,0.002740
284,0.002758
285,0.002779
286,0.002797
287,0.002811
288,0.002828
289,0.002849
290,0.002866
291,0.002886
292,0.002903
293,0.002923
294,0.002946
295,0.002973
296,0.002996
297,0.003022
298,0.003044
299,0.003070
300,0.003099
301,0.003124
302,0.003153
303,0.003184
304,0.003212
305,0.003237
306,0.003258
307,0.003283
308,0.003304
309,0.003322
310,0.003336
311,0.003354
