Action,Memory_Utilization
456,0.377233
457,0.377358
458,0.377718
459,0.377841
460,0.378199
461,0.378791
462,0.379615
463,0.380670
464,0.381954
465,0.383000
466,0.383808
467,0.384380
468,0.384718
469,0.385286
470,0.385620
471,0.386184
472,0.386515
473,0.386615
474,0.386944
475,0.387043
476,0.386914
477,0.387013
478,0.387338
479,0.387436
480,0.387307
481,0.386953
482,0.386375
483,0.385575
484,0.384778
485,0.384209
486,0.383865
487,0.383745
488,0.383848
489,0.384173
490,0.384274
491,0.384597
492,0.385138
493,0.385457
494,0.385995
495,0.386750
496,0.387283
497,0.387595
498,0.387688
499,0.387999
500,0.388091
501,0.388399
502,0.388490
503,0.388365
504,0.388025
505,0.387471
506,0.387134
507,0.387013
508,0.386678
509,0.386558
510,0.386225
511,0.385682
512,0.385353
513,0.384813
514,0.384486
515,0.383951
516,0.383206
517,0.382465
518,0.381727
519,0.380991
520,0.380259
521,0.379737
522,0.379425
523,0.379322
524,0.379013
525,0.378911
526,0.379015
527,0.379326
528,0.379840
529,0.380558
530,0.381068
531,0.381373
532,0.381879
533,0.382588
534,0.383497
535,0.384606
536,0.385508
537,0.386608
538,0.387705
539,0.388797
540,0.389721
541,0.390806
542,0.391723
543,0.392473
544,0.393057
545,0.393802
546,0.394707
547,0.395771
548,0.396668
549,0.397401
550,0.397970
551,0.398698
552,0.399262
553,0.399664
554,0.400225
555,0.400943
556,0.401819
557,0.402532
558,0.403083
559,0.403792
560,0.404339
561,0.405042
562,0.405585
563,0.405969
564,0.406508
565,0.407203
566,0.407738
567,0.408115
568,0.408647
569,0.409333
570,0.409861
571,0.410231
572,0.410756
573,0.411124
574,0.411645
575,0.412010
576,0.412219
577,0.412582
578,0.412789
579,0.413150
580,0.413356
581,0.413714
582,0.414224
583,0.414884
584,0.415693
585,0.416349
586,0.416850
587,0.417501
588,0.418301
589,0.419249
590,0.420193
591,0.420997
592,0.421935
593,0.422734
594,0.423666
595,0.424595
596,0.425395
597,0.426318
598,0.427113
599,0.428030
600,0.428944
601,0.429856
602,0.430656
603,0.431561
604,0.432356
605,0.433255
606,0.434044
607,0.434938
608,0.435829
609,0.436717
610,0.437602
611,0.438484
612,0.439363
613,0.440160
614,0.441033
615,0.441904
616,0.442772
617,0.443565
618,0.444428
619,0.445287
620,0.446076
621,0.446930
622,0.447713
623,0.448426
624,0.449204
625,0.449912
626,0.450550
627,0.451118
628,0.451617
629,0.452181
630,0.452676
631,0.453103
632,0.453461
633,0.453751
634,0.453973
635,0.454261
636,0.454481
637,0.454767
638,0.454986
639,0.455138
640,0.455356
641,0.455506
642,0.455591
643,0.455608
644,0.455692
645,0.455841
646,0.455924
647,0.456073
648,0.456155
649,0.456303
650,0.456516
651,0.456662
652,0.456873
653,0.457019
654,0.457229
655,0.457503
656,0.457712
657,0.457985
658,0.458321
659,0.458721
660,0.459184
661,0.459581
662,0.460042
663,0.460436
664,0.460894
665,0.461286
666,0.461741
667,0.462131
668,0.462584
669,0.462971
670,0.463294
671,0.463679
