Action,Memory Utilization
1,0.244141
2,0.122070
3,0.081380
4,0.122070
5,0.097656
6,0.081380
7,0.104632
8,0.091553
9,0.081380
10,0.097656
11,0.133168
12,0.142415
13,0.131460
14,0.122070
15,0.130208
16,0.152588
17,0.186696
18,0.203451
19,0.212017
20,0.225830
21,0.232515
22,0.233043
23,0.238833
24,0.249227
25,0.253906
26,0.253531
27,0.257704
28,0.257220
29,0.260978
30,0.260417
31,0.255954
32,0.255585
33,0.251539
34,0.251321
35,0.247628
36,0.247531
37,0.250739
38,0.250565
39,0.247271
40,0.241089
41,0.235209
42,0.229608
43,0.224269
44,0.219172
45,0.214301
46,0.209642
47,0.205182
48,0.200907
49,0.196807
50,0.192871
51,0.189089
52,0.187800
53,0.188864
54,0.192148
55,0.197532
56,0.200544
57,0.201309
58,0.204152
59,0.208968
60,0.211589
61,0.216124
62,0.222483
63,0.226702
64,0.228882
65,0.232873
66,0.238592
67,0.242319
68,0.247731
69,0.251217
70,0.256348
71,0.263053
72,0.267877
73,0.274240
74,0.278782
75,0.284831
76,0.289114
77,0.294871
78,0.298916
79,0.304403
80,0.308228
81,0.313465
82,0.317085
83,0.319148
84,0.322614
85,0.324563
86,0.325048
87,0.324118
88,0.324596
89,0.323692
90,0.324164
91,0.323285
92,0.321098
93,0.320270
94,0.318162
95,0.317383
96,0.317891
97,0.317131
98,0.315141
99,0.311957
100,0.308838
101,0.306989
102,0.303979
103,0.302213
104,0.301655
105,0.302269
106,0.304024
107,0.304605
108,0.306306
109,0.306856
110,0.306286
111,0.304626
112,0.304086
113,0.304636
114,0.306247
115,0.308891
116,0.312542
117,0.315087
118,0.318624
119,0.320734
120,0.323486
121,0.326866
122,0.329190
123,0.331972
124,0.335201
125,0.337891
126,0.341022
127,0.343335
128,0.345993
129,0.348989
130,0.351562
131,0.353724
132,0.356223
133,0.359052
134,0.361474
135,0.364222
136,0.366331
137,0.368112
138,0.369572
139,0.371305
140,0.372721
141,0.374407
142,0.375782
143,0.376853
144,0.378192
145,0.379232
146,0.379979
147,0.380992
148,0.382267
149,0.383252
150,0.383952
151,0.384373
152,0.384521
153,0.384402
154,0.384019
155,0.383380
156,0.383009
157,0.382383
158,0.382023
159,0.381924
160,0.381571
161,0.380971
162,0.380628
163,0.380041
164,0.379708
165,0.379133
166,0.378320
167,0.377760
168,0.376965
169,0.376420
170,0.375641
171,0.375110
172,0.374822
173,0.374772
174,0.374489
175,0.373977
176,0.373702
177,0.373659
178,0.373389
179,0.373349
180,0.373535
181,0.373944
182,0.374125
183,0.374082
184,0.373818
185,0.373777
186,0.373518
187,0.373043
188,0.372791
189,0.372325
190,0.372079
191,0.371622
192,0.371382
193,0.371355
194,0.371119
195,0.371094
196,0.370861
197,0.370838
198,0.370609
199,0.370587
200,0.370361
201,0.370341
202,0.370522
203,0.370500
204,0.370679
205,0.370657
206,0.370833
207,0.371204
208,0.371767
209,0.372519
210,0.373070
211,0.373809
212,0.374733
213,0.375839
214,0.376745
215,0.377831
216,0.378719
217,0.379787
218,0.380658
219,0.381335
220,0.381821
221,0.382119
222,0.382597
223,0.383253
224,0.383722
225,0.384006
226,0.384467
227,0.384746
228,0.385200
229,0.385472
230,0.385565
231,0.385481
232,0.385223
233,0.385141
234,0.385234
235,0.385500
236,0.385590
237,0.385509
238,0.385599
239,0.385517
240,0.385267
241,0.384851
242,0.384269
243,0.383525
244,0.382954
245,0.382221
246,0.381329
247,0.380279
248,0.379074
249,0.377715
250,0.376530
251,0.375192
252,0.374026
253,0.373030
254,0.371882
255,0.370902
256,0.370089
257,0.369124
258,0.368009
259,0.367059
260,0.365961
261,0.365026
262,0.363943
263,0.363024
264,0.362265
265,0.361359
266,0.360612
267,0.360024
268,0.359591
269,0.359011
270,0.358284
271,0.357412
272,0.356697
273,0.355837
274,0.354836
275,0.353989
276,0.353296
277,0.352755
278,0.352072
279,0.351247
280,0.350284
281,0.349182
282,0.348232
283,0.347433
284,0.346783
285,0.345994
286,0.345354
287,0.344859
288,0.344227
289,0.343458
290,0.342835
291,0.342356
292,0.341741
293,0.340991
294,0.340385
295,0.339921
296,0.339597
297,0.339139
298,0.338820
299,0.338367
300,0.338053
301,0.337606
302,0.337297
303,0.337124
304,0.337085
305,0.336914
306,0.336611
307,0.336442
308,0.336407
309,0.336503
310,0.336730
311,0.336825
312,0.337050
313,0.337403
314,0.337624
315,0.337973
316,0.338449
317,0.338793
318,0.339263
319,0.339603
320,0.340068
321,0.340656
322,0.341114
323,0.341696
324,0.342149
325,0.342473
326,0.342920
327,0.343240
328,0.343683
329,0.344246
330,0.344929
331,0.345731
332,0.346405
333,0.346953
334,0.347377
335,0.347919
336,0.348579
337,0.349355
338,0.350248
339,0.351255
340,0.352376
341,0.353286
342,0.354293
343,0.355395
344,0.356390
345,0.357278
346,0.358261
347,0.359138
348,0.359910
349,0.360778
350,0.361740
351,0.362597
352,0.363549
353,0.364396
354,0.365140
355,0.365782
356,0.366518
357,0.367152
358,0.367685
359,0.368118
360,0.368452
361,0.368687
362,0.368825
363,0.368866
364,0.369002
365,0.369234
366,0.369368
367,0.369407
368,0.369541
369,0.369579
370,0.369523
371,0.369373
372,0.369317
373,0.369169
374,0.368928
375,0.368595
376,0.368171
377,0.367842
378,0.367607
379,0.367466
380,0.367416
381,0.367459
382,0.367410
383,0.367270
384,0.367040
385,0.366721
386,0.366494
387,0.366178
388,0.365953
389,0.365640
390,0.365418
391,0.365286
392,0.365066
393,0.364936
394,0.364718
395,0.364413
396,0.364197
397,0.364070
398,0.364032
399,0.363906
400,0.363694
401,0.363570
402,0.363533
403,0.363410
404,0.363201
405,0.362907
406,0.362700
407,0.362580
408,0.362376
409,0.362257
410,0.362224
411,0.362276
412,0.362413
413,0.362633
414,0.362768
415,0.362818
416,0.362785
417,0.362667
418,0.362467
419,0.362185
420,0.361821
421,0.361376
422,0.360850
423,0.360409
424,0.359888
425,0.359452
426,0.358935
427,0.358503
428,0.358154
429,0.357889
430,0.357543
431,0.357280
432,0.357099
433,0.356838
434,0.356498
435,0.356079
436,0.355742
437,0.355487
438,0.355312
439,0.355218
440,0.355203
441,0.355268
442,0.355411
443,0.355475
444,0.355617
445,0.355680
446,0.355821
447,0.355883
448,0.356023
449,0.356084
450,0.356068
451,0.355975
452,0.355804
453,0.355712
454,0.355543
455,0.355451
456,0.355284
457,0.355041
458,0.354875
459,0.354633
460,0.354317
461,0.353927
462,0.353463
463,0.352925
464,0.352465
465,0.351933
466,0.351477
467,0.350948
468,0.350347
469,0.349823
470,0.349227
471,0.348560
472,0.347822
473,0.347086
474,0.346428
475,0.345698
476,0.345045
477,0.344322
478,0.343602
479,0.342957
480,0.342388
481,0.341894
482,0.341474
483,0.340983
484,0.340567
485,0.340081
486,0.339668
487,0.339185
488,0.338776
489,0.338440
490,0.338034
491,0.337559
492,0.337156
493,0.336826
494,0.336568
495,0.336381
496,0.336125
497,0.335799
498,0.335405
499,0.335082
500,0.334691
501,0.334371
502,0.334122
503,0.333943
504,0.333696
505,0.333518
506,0.333411
507,0.333235
508,0.332991
509,0.332679
510,0.332437
511,0.332264
512,0.332024
513,0.331853
514,0.331614
515,0.331309
516,0.330937
517,0.330499
518,0.329996
519,0.329562
520,0.329196
521,0.328899
522,0.328536
523,0.328242
524,0.328015
525,0.327855
526,0.327762
527,0.327736
528,0.327643
529,0.327617
530,0.327657
531,0.327763
532,0.327933
533,0.328169
534,0.328338
535,0.328572
536,0.328740
537,0.328842
538,0.328879
539,0.328981
540,0.329146
541,0.329247
542,0.329412
543,0.329512
544,0.329547
545,0.329646
546,0.329809
547,0.329908
548,0.329942
549,0.329913
550,0.329820
551,0.329665
552,0.329447
553,0.329292
554,0.329076
555,0.328923
556,0.328833
557,0.328806
558,0.328842
559,0.328815
560,0.328851
561,0.328948
562,0.329108
563,0.329329
564,0.329487
565,0.329583
566,0.329740
567,0.329958
568,0.330237
569,0.330576
570,0.330975
571,0.331433
572,0.331830
573,0.332164
574,0.332436
575,0.332646
576,0.332795
577,0.332883
578,0.333031
579,0.333239
580,0.333386
581,0.333473
582,0.333619
583,0.333824
584,0.333969
585,0.334054
586,0.334198
587,0.334402
588,0.334545
589,0.334746
590,0.334888
591,0.334971
592,0.334994
593,0.334959
594,0.334982
595,0.335064
596,0.335204
597,0.335402
598,0.335657
599,0.335970
600,0.336341
601,0.336767
602,0.337251
603,0.337791
604,0.338271
605,0.338692
606,0.339054
607,0.339472
608,0.339831
609,0.340132
610,0.340375
611,0.340674
612,0.341029
613,0.341327
614,0.341679
615,0.341975
616,0.342325
617,0.342618
618,0.342854
619,0.343145
620,0.343379
621,0.343557
622,0.343677
623,0.343853
624,0.344085
625,0.344260
626,0.344490
627,0.344663
628,0.344892
629,0.345176
630,0.345403
631,0.345684
632,0.345910
633,0.346190
634,0.346524
635,0.346912
636,0.347244
637,0.347520
638,0.347741
639,0.348015
640,0.348344
641,0.348725
642,0.349160
643,0.349647
644,0.350079
645,0.350456
646,0.350885
647,0.351259
648,0.351686
649,0.352058
650,0.352375
651,0.352637
652,0.352952
653,0.353213
654,0.353526
655,0.353785
656,0.354096
657,0.354460
658,0.354875
659,0.355342
660,0.355755
661,0.356114
662,0.356419
663,0.356775
664,0.357078
665,0.357328
666,0.357630
667,0.357878
668,0.358073
669,0.358215
670,0.358305
671,0.358343
672,0.358329
673,0.358367
674,0.358456
675,0.358597
676,0.358685
677,0.358825
678,0.359016
679,0.359155
680,0.359242
681,0.359278
682,0.359365
683,0.359503
684,0.359691
685,0.359930
686,0.360117
687,0.360253
688,0.360337
689,0.360371
690,0.360354
691,0.360388
692,0.360472
693,0.360606
694,0.360790
695,0.361024
696,0.361307
697,0.361639
698,0.361920
699,0.362151
700,0.362431
701,0.362760
702,0.363137
703,0.363464
704,0.363840
705,0.364263
706,0.364735
707,0.365157
708,0.365626
709,0.366144
710,0.366574
711,0.367045
712,0.367473
713,0.367856
714,0.368281
715,0.368748
716,0.369171
717,0.369549
718,0.369885
719,0.370262
720,0.370680
721,0.371139
722,0.371640
723,0.372064
724,0.372449
725,0.372871
726,0.373329
727,0.373748
728,0.374129
729,0.374471
730,0.374850
731,0.375191
732,0.375568
733,0.375981
734,0.376429
735,0.376914
